shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
100027,45.432298,-73.304385,10001,0.000
100027,45.432187,-73.304929,10002,0.044
100027,45.432167,-73.304975,10003,0.049
100027,45.432146,-73.305000,10004,0.052
100027,45.432003,-73.305091,10005,0.069
100027,45.431974,-73.305205,10006,0.079
100027,45.431947,-73.305301,10007,0.087
100027,45.431912,-73.305406,10008,0.096
100027,45.431902,-73.305460,10009,0.100
100027,45.431900,-73.305520,10010,0.105
100027,45.431900,-73.305584,10011,0.110
100027,45.431939,-73.305653,10012,0.117
100027,45.431954,-73.305705,10013,0.121
100027,45.431965,-73.305767,10014,0.126
100027,45.432718,-73.306069,10015,0.213
100027,45.432718,-73.306069,20001,0.213
100027,45.432741,-73.306078,20002,0.216
100027,45.433052,-73.306199,20003,0.252
100027,45.433151,-73.306218,20004,0.263
100027,45.433231,-73.306223,20005,0.272
100027,45.433304,-73.306215,20006,0.280
100027,45.433403,-73.306195,20007,0.291
100027,45.433594,-73.306143,20008,0.313
100027,45.435572,-73.305519,20009,0.538
100027,45.435572,-73.305519,30001,0.538
100027,45.435666,-73.305489,30002,0.548
100027,45.436330,-73.305274,30003,0.624
100027,45.438603,-73.304543,30004,0.883
100027,45.438646,-73.304526,30005,0.888
100027,45.438646,-73.304526,40001,0.888
100027,45.438721,-73.304499,40002,0.897
100027,45.441014,-73.303770,40003,1.158
100027,45.441014,-73.303770,50001,1.158
100027,45.441084,-73.303748,50002,1.166
100027,45.441130,-73.303738,50003,1.171
100027,45.440979,-73.302769,50004,1.249
100027,45.440834,-73.301782,50005,1.328
100027,45.440834,-73.301782,60001,1.328
100027,45.440815,-73.301647,60002,1.339
100027,45.440772,-73.301286,60003,1.367
100027,45.440676,-73.300590,60004,1.423
100027,45.440404,-73.298860,60005,1.562
100027,45.440396,-73.298822,60006,1.565
100027,45.440396,-73.298822,70001,1.565
100027,45.440372,-73.298704,70002,1.574
100027,45.440235,-73.297890,70003,1.640
100027,45.440121,-73.297193,70004,1.696
100027,45.440074,-73.296883,70005,1.720
100027,45.440074,-73.296883,80001,1.720
100027,45.440068,-73.296844,80002,1.724
100027,45.440053,-73.296767,80003,1.730
100027,45.439863,-73.295591,80004,1.824
100027,45.439726,-73.294784,80005,1.889
100027,45.439726,-73.294784,90001,1.889
100027,45.439725,-73.294777,90002,1.890
100027,45.439710,-73.294674,90003,1.898
100027,45.439571,-73.293617,90004,1.982
100027,45.439558,-73.293463,90005,1.994
100027,45.439465,-73.292652,90006,2.059
100027,45.439455,-73.292595,90007,2.063
100027,45.439455,-73.292595,100001,2.063
100027,45.439435,-73.292471,100002,2.073
100027,45.439333,-73.291672,100003,2.137
100027,45.439141,-73.290573,100004,2.225
100027,45.439035,-73.289917,100005,2.278
100027,45.439035,-73.289917,110001,2.278
100027,45.439012,-73.289772,110002,2.290
100027,45.438976,-73.289770,110003,2.294
100027,45.436393,-73.290625,110004,2.589
100027,45.436393,-73.290625,120001,2.589
100027,45.436330,-73.290645,120002,2.596
100027,45.436257,-73.290667,120003,2.604
100027,45.435929,-73.290800,120004,2.642
100027,45.435756,-73.290879,120005,2.662
100027,45.435590,-73.290997,120006,2.683
100027,45.435423,-73.291153,120007,2.705
100027,45.435210,-73.291370,120008,2.734
100027,45.434965,-73.291713,120009,2.772
100027,45.434934,-73.291772,120010,2.778
100027,45.434934,-73.291772,130001,2.778
100027,45.434899,-73.291837,130002,2.785
100027,45.434813,-73.291998,130003,2.800
100027,45.434677,-73.292323,130004,2.830
100027,45.434598,-73.292548,130005,2.850
100027,45.434528,-73.292787,130006,2.870
100027,45.434435,-73.293190,130007,2.903
100027,45.434148,-73.294630,130008,3.020
100027,45.433855,-73.296029,130009,3.135
100027,45.433829,-73.296171,130010,3.146
100027,45.433822,-73.296234,130011,3.151
100027,45.433822,-73.296234,140001,3.151
100027,45.433821,-73.296248,140002,3.152
100027,45.433823,-73.296328,140003,3.158
100027,45.433834,-73.296392,140004,3.163
100027,45.433867,-73.296472,140005,3.171
100027,45.433894,-73.296497,140006,3.174
100027,45.433912,-73.296522,140007,3.177
100027,45.433930,-73.296554,140008,3.180
100027,45.433947,-73.296596,140009,3.184
100027,45.433956,-73.296645,140010,3.188
100027,45.433963,-73.296696,140011,3.192
100027,45.433962,-73.296738,140012,3.195
100027,45.433960,-73.296771,140013,3.198
100027,45.433955,-73.296792,140014,3.200
100027,45.433943,-73.296829,140015,3.203
100027,45.433926,-73.296866,140016,3.206
100027,45.433902,-73.296904,140017,3.210
100027,45.433874,-73.296937,140018,3.214
100027,45.433849,-73.296957,140019,3.218
100027,45.433815,-73.297011,140020,3.223
100027,45.433775,-73.297088,140021,3.231
100027,45.433746,-73.297172,140022,3.238
100027,45.433689,-73.297345,140023,3.253
100027,45.433664,-73.297422,140024,3.260
100027,45.433664,-73.297422,150001,3.260
100027,45.433525,-73.297833,150002,3.295
100027,45.433469,-73.298027,150003,3.312
100027,45.433412,-73.298258,150004,3.331
100027,45.433364,-73.298466,150005,3.348
100027,45.433261,-73.298815,150006,3.377
100027,45.432968,-73.300338,150007,3.501
100027,45.432741,-73.301403,150008,3.588
100027,45.432377,-73.303220,150009,3.736
100027,45.432336,-73.303399,150010,3.751
100027,45.432253,-73.303876,150011,3.789
100027,45.432398,-73.303890,150012,3.806
100027,45.432298,-73.304385,150013,3.846
110125,45.432346,-73.304146,10001,0.000
110125,45.432187,-73.304929,10002,0.064
110125,45.432167,-73.304975,10003,0.068
110125,45.432146,-73.305000,10004,0.071
110125,45.432003,-73.305091,10005,0.088
110125,45.431974,-73.305205,10006,0.098
110125,45.431947,-73.305301,10007,0.106
110125,45.431912,-73.305406,10008,0.115
110125,45.431902,-73.305460,10009,0.119
110125,45.431900,-73.305520,10010,0.124
110125,45.431900,-73.305584,10011,0.129
110125,45.431939,-73.305653,10012,0.136
110125,45.431954,-73.305705,10013,0.141
110125,45.431965,-73.305767,10014,0.145
110125,45.431962,-73.305837,10015,0.151
110125,45.431951,-73.305890,10016,0.155
110125,45.431938,-73.305925,10017,0.158
110125,45.431906,-73.305984,10018,0.164
110125,45.431860,-73.306020,10019,0.170
110125,45.431816,-73.306041,10020,0.175
110125,45.431777,-73.306047,10021,0.180
110125,45.431443,-73.306795,10022,0.249
110125,45.431297,-73.307095,10023,0.277
110125,45.431139,-73.307402,10024,0.307
110125,45.431026,-73.307607,10025,0.328
110125,45.430937,-73.307745,10026,0.342
110125,45.430800,-73.307941,10027,0.364
110125,45.430684,-73.308094,10028,0.382
110125,45.430521,-73.308321,10029,0.407
110125,45.430176,-73.308722,10030,0.456
110125,45.429851,-73.309047,10031,0.501
110125,45.429519,-73.309321,10032,0.543
110125,45.429114,-73.309603,10033,0.593
110125,45.428820,-73.309790,10034,0.629
110125,45.428721,-73.309837,10035,0.641
110125,45.428487,-73.309966,10036,0.669
110125,45.428254,-73.310081,10037,0.696
110125,45.428028,-73.310159,10038,0.722
110125,45.427831,-73.310224,10039,0.745
110125,45.427777,-73.310249,10040,0.751
110125,45.427741,-73.310275,10041,0.755
110125,45.427696,-73.310327,10042,0.762
110125,45.427642,-73.310441,10043,0.772
110125,45.427597,-73.310595,10044,0.785
110125,45.427597,-73.310659,10045,0.790
110125,45.427649,-73.311107,10046,0.826
110125,45.427731,-73.311448,10047,0.854
110125,45.427731,-73.311448,20001,0.854
110125,45.427756,-73.311552,20002,0.863
110125,45.427806,-73.311712,20003,0.877
110125,45.427945,-73.312049,20004,0.907
110125,45.428077,-73.312298,20005,0.931
110125,45.428210,-73.312513,20006,0.954
110125,45.428355,-73.312715,20007,0.977
110125,45.428505,-73.312886,20008,0.998
110125,45.428671,-73.313054,20009,1.021
110125,45.428889,-73.313223,20010,1.048
110125,45.429122,-73.313362,20011,1.076
110125,45.429362,-73.313472,20012,1.104
110125,45.429726,-73.313613,20013,1.146
110125,45.429726,-73.313613,30001,1.146
110125,45.429834,-73.313655,30002,1.159
110125,45.430831,-73.314050,30003,1.274
110125,45.430831,-73.314050,40001,1.274
110125,45.430971,-73.314104,40002,1.290
110125,45.433056,-73.314947,40003,1.531
110125,45.433056,-73.314947,50001,1.531
110125,45.433135,-73.314978,50002,1.540
110125,45.433366,-73.313967,50003,1.623
110125,45.433480,-73.313475,50004,1.664
110125,45.433602,-73.313035,50005,1.701
110125,45.433746,-73.312711,50006,1.731
110125,45.433881,-73.312438,50007,1.757
110125,45.434107,-73.312094,50008,1.794
110125,45.434196,-73.311978,50009,1.807
110125,45.434196,-73.311978,60001,1.807
110125,45.434276,-73.311874,60002,1.819
110125,45.434773,-73.311201,60003,1.895
110125,45.435421,-73.310320,60004,1.995
110125,45.435692,-73.309943,60005,2.037
110125,45.435692,-73.309943,70001,2.037
110125,45.435694,-73.309941,70002,2.038
110125,45.436285,-73.309133,70003,2.129
110125,45.436434,-73.308976,70004,2.150
110125,45.436434,-73.308976,80001,2.150
110125,45.436527,-73.308879,80002,2.162
110125,45.436684,-73.308748,80003,2.183
110125,45.436897,-73.308556,80004,2.211
110125,45.437154,-73.308393,80005,2.242
110125,45.437291,-73.308312,80006,2.258
110125,45.437579,-73.308212,80007,2.291
110125,45.437579,-73.308212,90001,2.291
110125,45.437665,-73.308181,90002,2.301
110125,45.438355,-73.307980,90003,2.379
110125,45.439101,-73.307706,90004,2.465
