trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,platform_track
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:02:00,05:02:00,74119,1,0,1,0.000,1,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:02:33,05:02:33,74088,2,0,0,0.213,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:03:24,05:03:24,74084,3,0,0,0.538,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:04:18,05:04:18,74082,4,0,0,0.888,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:05:00,05:05:00,74069,5,0,0,1.158,1,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:05:27,05:05:27,74066,6,0,0,1.328,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:06:05,05:06:05,74064,7,0,0,1.565,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:06:30,05:06:30,74134,8,0,0,1.720,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:06:58,05:06:58,74062,9,0,0,1.889,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:07:26,05:07:26,74696,10,0,0,2.063,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:08:00,05:08:00,74060,11,0,0,2.278,1,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:08:48,05:08:48,74057,12,0,0,2.589,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:09:17,05:09:17,74052,13,0,0,2.778,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:10:14,05:10:14,74018,14,0,0,3.151,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:10:30,05:10:30,74325,15,0,0,3.260,0,
3283114-CRC-A21-CRC_GTFS-Fête-2-02,05:12:00,05:12:00,74119,16,1,0,3.846,1,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:01:00,05:01:00,74119,1,0,1,0.000,1,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:01:33,05:01:33,74088,2,0,0,0.213,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:02:24,05:02:24,74084,3,0,0,0.538,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:03:18,05:03:18,74082,4,0,0,0.888,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:04:00,05:04:00,74069,5,0,0,1.158,1,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:04:27,05:04:27,74066,6,0,0,1.328,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:05:05,05:05:05,74064,7,0,0,1.565,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:05:30,05:05:30,74134,8,0,0,1.720,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:05:58,05:05:58,74062,9,0,0,1.889,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:06:26,05:06:26,74696,10,0,0,2.063,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:07:00,05:07:00,74060,11,0,0,2.278,1,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:07:48,05:07:48,74057,12,0,0,2.589,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:08:17,05:08:17,74052,13,0,0,2.778,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:09:14,05:09:14,74018,14,0,0,3.151,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:09:30,05:09:30,74325,15,0,0,3.260,0,
3283114-CRC-H22-CRC_GTFS-Semaine-02,05:11:00,05:11:00,74119,16,1,0,3.846,1,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:02:00,05:02:00,74119,1,0,1,0.000,1,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:02:33,05:02:33,74088,2,0,0,0.213,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:03:24,05:03:24,74084,3,0,0,0.538,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:04:18,05:04:18,74082,4,0,0,0.888,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:05:00,05:05:00,74069,5,0,0,1.158,1,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:05:27,05:05:27,74066,6,0,0,1.328,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:06:05,05:06:05,74064,7,0,0,1.565,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:06:30,05:06:30,74134,8,0,0,1.720,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:06:58,05:06:58,74062,9,0,0,1.889,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:07:26,05:07:26,74696,10,0,0,2.063,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:08:00,05:08:00,74060,11,0,0,2.278,1,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:08:48,05:08:48,74057,12,0,0,2.589,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:09:17,05:09:17,74052,13,0,0,2.778,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:10:14,05:10:14,74018,14,0,0,3.151,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:10:30,05:10:30,74325,15,0,0,3.260,0,
3283114-CRC-H22-CRC_GTFS-Fête-2-02,05:12:00,05:12:00,74119,16,1,0,3.846,1,
3283115-CRC-H22-CRC_GTFS-Semaine-02,05:15:00,05:15:00,74130,1,0,1,0.000,1,
3283115-CRC-H22-CRC_GTFS-Semaine-02,05:15:50,05:15:50,74623,2,0,0,0.839,0,
3283115-CRC-H22-CRC_GTFS-Semaine-02,05:42:14,05:42:14,74529,3,1,0,27.225,0,
3283115-CRC-H22-CRC_GTFS-Semaine-02,05:43:00,05:43:00,74212,4,1,0,27.990,1,
