stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
73024,Promenades Saint-Bruno / face à la porte #3,  45.503044, -73.376021,3,73024,0
73026,Promenades Saint-Bruno / face à la porte #2,  45.506043, -73.374795,3,73026,0
74000,du Séminaire Sud / Montcalm (Cégep),  45.297081, -73.266912,HT,74000,0
74001,du Séminaire Sud / Gouin,  45.301098, -73.266457,HT,74001,0
74002,du Séminaire Nord / McMillan (Hôpital),  45.333594, -73.268116,HT,74002,0
74003,du Séminaire Nord / Lachance,  45.334913, -73.267688,HT,74003,0
74004,du Séminaire Nord / Lachance,  45.335223, -73.268248,HT,74004,0
74005,du Séminaire Nord / face à l'Hôpital,  45.333343, -73.267455,HT,74005,0
74006,du Séminaire Sud / Gouin,  45.301633, -73.266951,HT,74006,0
74007,du Séminaire Sud / Montcalm (Cégep),  45.297053, -73.266582,HT,74007,0
74008,Simard / face au Centre Sportif Robert Lebel,  45.437194, -73.269138,5,74008,0
74009,Brassard / 2e Rue De Tracy,  45.449078, -73.303424,5,74009,0
74011,de Chambly / Bellerive,  45.459436, -73.308587,5,74011,0
74012,De Périgny / face au 500,  45.459156, -73.305372,5,74012,0
74013,de Chambly / Bellevue,  45.462278, -73.331809,5,74013,0
74014,de Chambly / Bellevue,  45.462039, -73.332316,5,74014,0
74015,Route 112 / de Chambly,  45.465225, -73.345291,5,74015,0
74017,Fréchette / Fonrouge,  45.433589, -73.296925,5,74017,0
74018,Fréchette / Denault,  45.433895, -73.296250,5,74018,0
74020,De Périgny / Bourgogne,  45.456229, -73.302339,5,74020,0
74021,De Périgny / Laforce,  45.455982, -73.302700,5,74021,0
74022,De Périgny / Notre-Dame,  45.453338, -73.301367,5,74022,0
74023,De Périgny / Notre-Dame,  45.453494, -73.301896,5,74023,0
74024,Brassard / De Périgny,  45.452317, -73.302084,5,74024,0
74026,Brassard / 1re Rue De Tracy,  45.450505, -73.302823,5,74026,0
74027,Brassard / 1re Rue De Tracy,  45.450982, -73.303171,5,74027,0
74028,Brassard / De Salaberry,  45.446934, -73.302412,5,74028,0
74029,Brassard / De Salaberry,  45.447072, -73.302864,5,74029,0
74030,Brassard / Barré,  45.443795, -73.302734,5,74030,0
74031,Brassard / Dubuisson,  45.444081, -73.303061,5,74031,0
74032,Fréchette / Charles-Le Moyne,  45.444130, -73.287865,5,74032,0
74033,Fréchette / Charles-Le Moyne,  45.444350, -73.288097,5,74033,0
74034,Fréchette / de Gentilly,  45.440602, -73.288964,5,74034,0
74036,Fréchette / Lapalme,  45.440898, -73.289270,5,74036,0
74037,de Gentilly / Franquet,  45.434770, -73.280084,5,74037,0
74038,Franquet / de Gentilly,  45.434483, -73.280188,5,74038,0
74039,Henriette / devant le #2282,  45.449378, -73.319247,5,74039,1
74040,Henriette / devant le #2271,  45.449198, -73.319375,3,74040,1
74041,Franquet / Scheffer,  45.435402, -73.285955,5,74041,0
74042,Bourgogne / Napoléon,  45.442655, -73.261053,5,74042,0
74044,Scheffer / O'Brien,  45.434885, -73.286084,5,74044,0
74045,Scheffer / Fonrouge,  45.430780, -73.287455,5,74045,0
74047,Fonrouge / Kennedy,  45.431439, -73.292072,5,74047,0
74049,Kennedy / Beausoleil,  45.433538, -73.291425,5,74049,0
74051,Kennedy / Fréchette,  45.434815, -73.291608,5,74051,0
74052,Fréchette / Kennedy,  45.435026, -73.291871,5,74052,0
74053,Fréchette / Kennedy,  45.434730, -73.291773,5,74053,0
74054,Franquet / Berthier,  45.436222, -73.289575,5,74054,0
74055,Fréchette / Franquet,  45.436114, -73.290485,5,74055,0
74057,Fréchette / Franquet,  45.436416, -73.290767,5,74057,0
74058,Fréchette / Lebel,  45.438717, -73.289645,5,74058,0
74059,Fréchette / Lebel,  45.439224, -73.289798,5,74059,0
74060,Lebel / Fréchette,  45.438953, -73.289943,5,74060,0
74062,Lebel / Saint-Jean,  45.439656, -73.294806,5,74062,0
74064,Lebel / Denault,  45.440318, -73.298853,5,74064,0
74066,Lebel / Briand,  45.440761, -73.301803,5,74066,0
