route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
10,CRC-A21-CRC_GTFS-Fête-2-02,3283114-CRC-A21-CRC_GTFS-Fête-2-02,Chambly local,0,100027,1,0,0
10,CRC-H22-CRC_GTFS-Semaine-02,3283114-CRC-H22-CRC_GTFS-Semaine-02,Chambly local,0,100027,1,0,0
10,CRC-H22-CRC_GTFS-Fête-2-02,3283114-CRC-H22-CRC_GTFS-Fête-2-02,Chambly local,0,100027,1,0,0
400,CRC-H22-CRC_GTFS-Semaine-02,3283115-CRC-H22-CRC_GTFS-Semaine-02,Montréal,1,4000069,1,0,0
15,CRC-A21-CRC_GTFS-Fête-2-02,3283116-CRC-A21-CRC_GTFS-Fête-2-02,Chambly,0,150081,1,0,0
15,CRC-H22-CRC_GTFS-Semaine-02,3283116-CRC-H22-CRC_GTFS-Semaine-02,Chambly,0,150081,1,0,0
15,CRC-H22-CRC_GTFS-Fête-2-02,3283116-CRC-H22-CRC_GTFS-Fête-2-02,Chambly,0,150081,1,0,0
14,CRC-A21-CRC_GTFS-Fête-2-02,3283117-CRC-A21-CRC_GTFS-Fête-2-02,Chambly,0,140083,1,0,0
14,CRC-H22-CRC_GTFS-Semaine-02,3283117-CRC-H22-CRC_GTFS-Semaine-02,Chambly,0,140083,1,0,0
14,CRC-H22-CRC_GTFS-Fête-2-02,3283117-CRC-H22-CRC_GTFS-Fête-2-02,Chambly,0,140083,1,0,0
10,CRC-A21-CRC_GTFS-Fête-2-02,3283118-CRC-A21-CRC_GTFS-Fête-2-02,Chambly local,0,100027,3,0,0
10,CRC-H22-CRC_GTFS-Semaine-02,3283118-CRC-H22-CRC_GTFS-Semaine-02,Chambly local,0,100027,3,0,0
10,CRC-H22-CRC_GTFS-Fête-2-02,3283118-CRC-H22-CRC_GTFS-Fête-2-02,Chambly local,0,100027,3,0,0
12,CRC-A21-CRC_GTFS-Fête-2-02,3283119-CRC-A21-CRC_GTFS-Fête-2-02,Chambly local,0,120049,1,0,0
12,CRC-H22-CRC_GTFS-Semaine-02,3283119-CRC-H22-CRC_GTFS-Semaine-02,Chambly local,0,120051,3,0,0
12,CRC-H22-CRC_GTFS-Fête-2-02,3283119-CRC-H22-CRC_GTFS-Fête-2-02,Chambly local,0,120051,1,0,0
T6,CRC-A21-CRC_GTFS-Fête-2-02,3283120-CRC-A21-CRC_GTFS-Fête-2-02,Stationnement incitatif Chambly,1,T60015,T1,0,0
T6,CRC-H22-CRC_GTFS-Semaine-02,3283120-CRC-H22-CRC_GTFS-Semaine-02,Stationnement incitatif Chambly,1,T60015,T1,0,0
T6,CRC-H22-CRC_GTFS-Fête-2-02,3283120-CRC-H22-CRC_GTFS-Fête-2-02,Stationnement incitatif Chambly,1,T60015,T1,0,0
