service_id,date,exception_type
TRAIN-H22-Blocks-Semaine-03,20220228,2
TRAIN-H22-Blocks-Semaine-03,20220301,2
TRAIN-H22-Blocks-Semaine-03,20220302,2
TRAIN-H22-Blocks-Semaine-03,20220303,2
TRAIN-H22-Blocks-Semaine-03,20220304,2
TRAIN-H22-Blocks-Semaine-03,20220307,2
TRAIN-H22-Blocks-Semaine-03,20220308,2
TRAIN-H22-Blocks-Semaine-03,20220309,2
TRAIN-H22-Blocks-Semaine-03,20220310,2
TRAIN-H22-Blocks-Semaine-03,20220311,2
TRAIN-H22-Blocks-Semaine-03,20220314,2
TRAIN-H22-Blocks-Semaine-03,20220315,2
TRAIN-H22-Blocks-Semaine-03,20220316,2
TRAIN-H22-Blocks-Semaine-03,20220317,2
TRAIN-H22-Blocks-Semaine-03,20220318,2
TRAIN-H22-Blocks-Semaine-03,20220321,2
TRAIN-H22-Blocks-Semaine-03,20220322,2
TRAIN-H22-Blocks-Semaine-03,20220323,2
TRAIN-H22-Blocks-Semaine-03,20220324,2
TRAIN-H22-Blocks-Semaine-03,20220325,2
TRAIN-H22-Blocks-Semaine-03,20220328,2
TRAIN-H22-Blocks-Semaine-03,20220329,2
TRAIN-H22-Blocks-Semaine-03,20220330,2
TRAIN-H22-Blocks-Semaine-03,20220331,2
TRAIN-H22-Blocks-Semaine-03,20220401,2
TRAIN-H22-Blocks-Semaine-03,20220404,2
TRAIN-H22-Blocks-Semaine-03,20220405,2
TRAIN-H22-Blocks-Semaine-03,20220406,2
TRAIN-H22-Blocks-Semaine-03,20220407,2
TRAIN-H22-Blocks-Semaine-03,20220408,2
TRAIN-H22-Blocks-Semaine-03,20220411,2
TRAIN-H22-Blocks-Semaine-03,20220412,2
TRAIN-H22-Blocks-Semaine-03,20220413,2
TRAIN-H22-Blocks-Semaine-03,20220414,2
TRAIN-H22-Blocks-Semaine-03,20220415,2
TRAIN-H22-Blocks-Semaine-03,20220418,2
TRAIN-H22-Blocks-Semaine-03,20220419,2
TRAIN-H22-Blocks-Semaine-03,20220420,2
TRAIN-H22-Blocks-Semaine-03,20220421,2
TRAIN-H22-Blocks-Semaine-03,20220422,2
TRAIN-H22-Blocks-Semaine-03,20220425,2
TRAIN-H22-Blocks-Semaine-03,20220426,2
TRAIN-H22-Blocks-Semaine-03,20220427,2
TRAIN-H22-Blocks-Semaine-03,20220428,2
TRAIN-H22-Blocks-Semaine-03,20220429,2
TRAIN-H22-Blocks-Semaine-03,20220502,2
TRAIN-H22-Blocks-Semaine-03,20220503,2
TRAIN-H22-Blocks-Semaine-03,20220504,2
TRAIN-H22-Blocks-Semaine-03,20220505,2
TRAIN-H22-Blocks-Semaine-03,20220506,2
TRAIN-H22-Blocks-Semaine-03,20220509,2
TRAIN-H22-Blocks-Semaine-03,20220510,2
TRAIN-H22-Blocks-Semaine-03,20220511,2
TRAIN-H22-Blocks-Semaine-03,20220512,2
TRAIN-H22-Blocks-Semaine-03,20220513,2
TRAIN-H22-Blocks-Semaine-03,20220516,2
TRAIN-H22-Blocks-Semaine-03,20220517,2
TRAIN-H22-Blocks-Semaine-03,20220518,2
TRAIN-H22-Blocks-Semaine-03,20220519,2
TRAIN-H22-Blocks-Semaine-03,20220520,2
TRAIN-H22-Blocks-Semaine-03,20220523,2
TRAIN-H22-Blocks-Semaine-03,20220524,2
TRAIN-H22-Blocks-Semaine-03,20220525,2
TRAIN-H22-Blocks-Semaine-03,20220526,2
TRAIN-H22-Blocks-Semaine-03,20220527,2
TRAIN-H22-Blocks-Semaine-04,20220223,2
TRAIN-H22-Blocks-Semaine-04,20220224,2
TRAIN-H22-Blocks-Semaine-04,20220225,2
TRAIN-H22-Blocks-Semaine-04,20220415,2
TRAIN-H22-Blocks-Semaine-04,20220523,2
TRAIN-H22-Blocks-Fête-1-03,20220415,1
TRAIN-H22-Blocks-Fête-1-03,20220523,1
