shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10215,45.398999,-74.050555,10001,0.000
10215,45.397617,-74.047498,10002,0.284
10215,45.397238,-74.046660,10003,0.362
10215,45.397187,-74.046547,10004,0.373
10215,45.396857,-74.045814,10005,0.441
10215,45.396309,-74.044599,10006,0.554
10215,45.396159,-74.044265,10007,0.585
10215,45.396073,-74.044072,10008,0.603
10215,45.395895,-74.043675,10009,0.640
10215,45.395593,-74.043002,10010,0.702
10215,45.395255,-74.042251,10011,0.772
10215,45.394966,-74.041608,10012,0.832
10215,45.394723,-74.041067,10013,0.882
10215,45.394491,-74.040550,10014,0.930
10215,45.394264,-74.040045,10015,0.977
10215,45.393607,-74.038591,10016,1.113
10215,45.393359,-74.038042,10017,1.164
10215,45.393142,-74.037562,10018,1.208
10215,45.393054,-74.037362,10019,1.227
10215,45.392995,-74.037225,10020,1.239
10215,45.392926,-74.037061,10021,1.254
10215,45.392873,-74.036943,10022,1.265
10215,45.392671,-74.036504,10023,1.306
10215,45.392427,-74.035975,10024,1.356
10215,45.392204,-74.035486,10025,1.401
10215,45.391957,-74.034945,10026,1.452
10215,45.391653,-74.034275,10027,1.514
10215,45.391402,-74.033723,10028,1.566
10215,45.389407,-74.029312,10029,1.976
10215,45.389166,-74.028780,10030,2.026
10215,45.388979,-74.028366,10031,2.064
10215,45.388818,-74.028009,10032,2.098
10215,45.388628,-74.027590,10033,2.137
10215,45.388451,-74.027201,10034,2.173
10215,45.388348,-74.026972,10035,2.194
10215,45.388296,-74.026862,10036,2.205
10215,45.388077,-74.026410,10037,2.248
10215,45.387962,-74.026173,10038,2.270
10215,45.387868,-74.025955,10039,2.290
10215,45.387756,-74.025692,10040,2.314
10215,45.387613,-74.025361,10041,2.345
10215,45.387111,-74.024268,10042,2.447
10215,45.386921,-74.023851,10043,2.486
10215,45.386537,-74.023004,10044,2.565
10215,45.386448,-74.022805,10045,2.583
10215,45.386309,-74.022479,10046,2.613
10215,45.386218,-74.022219,10047,2.636
10215,45.386192,-74.022145,10048,2.642
10215,45.386163,-74.022050,10049,2.650
10215,45.386104,-74.021867,10050,2.666
10215,45.386089,-74.021802,10051,2.671
10215,45.386018,-74.021514,10052,2.695
10215,45.385974,-74.021316,10053,2.712
10215,45.385942,-74.021063,10054,2.732
10215,45.385922,-74.020891,10055,2.745
10215,45.385911,-74.020651,10056,2.764
10215,45.385908,-74.020282,10057,2.793
10215,45.385917,-74.019793,10058,2.831
10215,45.385952,-74.019141,10059,2.882
10215,45.385969,-74.018659,10060,2.920
10215,45.386009,-74.017820,10061,2.986
10215,45.386052,-74.016940,10062,3.055
10215,45.386084,-74.016298,10063,3.106
10215,45.386139,-74.015234,10064,3.189
