shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1110268,45.498269,-73.564653,10001,0.000
1110268,45.498265,-73.564658,10002,0.001
1110268,45.497997,-73.564051,10003,0.057
1110268,45.498166,-73.563873,10004,0.080
1110268,45.498036,-73.563575,10005,0.108
1110268,45.497661,-73.563930,10006,0.158
1110268,45.498217,-73.565142,10007,0.271
1110268,45.497893,-73.565558,10008,0.319
1110268,45.497523,-73.566016,10009,0.374
1110268,45.496897,-73.566802,10010,0.467
1110268,45.496189,-73.567709,10011,0.573
1110268,45.495510,-73.568580,10012,0.674
1110268,45.495068,-73.569129,10013,0.740
1110268,45.494276,-73.570095,10014,0.856
1110268,45.494143,-73.570319,10015,0.878
1110268,45.494021,-73.570543,10016,0.901
1110268,45.493955,-73.570667,10017,0.913
1110268,45.493791,-73.571021,10018,0.946
1110268,45.493255,-73.572100,10019,1.049
1110268,45.493045,-73.572492,10020,1.088
1110268,45.493027,-73.572524,10021,1.091
1110268,45.492802,-73.572867,10022,1.128
1110268,45.492691,-73.573037,10023,1.146
1110268,45.491746,-73.574249,10024,1.287
1110268,45.491261,-73.574860,10025,1.359
1110268,45.490542,-73.575777,10026,1.467
1110268,45.489713,-73.576811,10027,1.589
1110268,45.489250,-73.577367,10028,1.657
1110268,45.489093,-73.577524,10029,1.678
1110268,45.488880,-73.577692,10030,1.705
1110268,45.488721,-73.577900,10031,1.729
1110268,45.487894,-73.579042,10032,1.857
1110268,45.487321,-73.579874,10033,1.948
1110268,45.487156,-73.580119,10034,1.975
1110268,45.486802,-73.580666,10035,2.033
1110268,45.486421,-73.581275,10036,2.097
1110268,45.485730,-73.582377,10037,2.212
1110268,45.484169,-73.584887,10038,2.474
1110268,45.482990,-73.586780,10039,2.672
1110268,45.481497,-73.589169,10040,2.922
1110268,45.479190,-73.592876,10041,3.309
1110268,45.479041,-73.593113,10042,3.334
1110268,45.478939,-73.593247,10043,3.349
1110268,45.478848,-73.593381,10044,3.364
1110268,45.478712,-73.593559,10045,3.385
1110268,45.478534,-73.593773,10046,3.410
1110268,45.478357,-73.593965,10047,3.435
1110268,45.478301,-73.594022,10048,3.443
1110268,45.478168,-73.594153,10049,3.461
1110268,45.477897,-73.594395,10050,3.496
