trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,platform_track
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:20:00,10:20:00,79000,1,0,0,0.000,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:21:10,10:21:10,79054,2,0,0,0.691,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:21:31,10:21:31,79055,3,0,0,0.897,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:22:04,10:22:04,79006,4,0,0,1.228,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:22:39,10:22:39,79036,5,0,0,1.568,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:23:21,10:23:21,79056,6,0,0,1.986,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:23:47,10:23:47,79007,7,0,0,2.237,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:24:00,10:24:00,79001,8,0,0,2.369,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:24:28,10:24:28,79015,9,0,0,2.652,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:24:52,10:24:52,79014,10,0,0,2.893,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:25:17,10:25:17,79016,11,0,0,3.148,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:25:39,10:25:39,79017,12,0,0,3.379,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:26:08,10:26:08,79037,13,0,0,3.671,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:26:34,10:26:34,79038,14,0,0,3.939,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:27:00,10:27:00,79002,15,0,0,4.199,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:31:00,10:31:00,79039,16,0,0,9.161,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:31:35,10:31:35,79040,17,0,0,9.448,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:32:10,10:32:10,79020,18,0,0,9.733,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:32:39,10:32:39,79021,19,0,0,9.977,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:33:00,10:33:00,79042,20,0,0,10.154,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:33:23,10:33:23,79043,21,0,0,10.376,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:33:53,10:33:53,79022,22,0,0,10.672,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:34:27,10:34:27,79047,23,0,0,10.996,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:35:00,10:35:00,79023,24,0,0,11.319,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:38:53,10:38:53,79024,25,0,0,13.580,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:39:16,10:39:16,79025,26,0,0,13.799,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:39:35,10:39:35,79026,27,0,0,13.986,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:40:00,10:40:00,79082,28,0,0,14.223,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:40:17,10:40:17,79052,29,0,0,14.391,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:40:45,10:40:45,79084,30,0,0,14.665,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:41:00,10:41:00,79045,31,0,0,14.810,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:43:52,10:43:52,78116,32,0,0,16.486,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:44:30,10:44:30,78117,33,0,0,16.857,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:44:44,10:44:44,78045,34,0,0,16.988,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:44:55,10:44:55,78046,35,0,0,17.092,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:45:35,10:45:35,78132,36,0,0,17.484,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:46:21,10:46:21,78179,37,0,0,17.931,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:47:00,10:47:00,78136,38,0,0,18.314,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:47:17,10:47:17,78125,39,0,0,18.637,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:48:09,10:48:09,78730,40,0,0,19.658,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:49:50,10:49:50,78731,41,0,0,21.630,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:50:36,10:50:36,78734,42,0,0,22.527,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:51:00,10:51:00,78275,43,0,0,23.006,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:58:27,10:58:27,77655,44,1,0,27.568,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,10:59:00,10:59:00,77501,45,1,0,27.902,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:00:11,11:00:11,77657,46,1,0,28.384,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:00:53,11:00:53,77503,47,1,0,28.674,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:02:08,11:02:08,77504,48,1,0,29.183,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:03:33,11:03:33,77505,49,1,0,29.758,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:04:33,11:04:33,77506,50,1,0,30.170,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:05:24,11:05:24,77509,51,1,0,30.511,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:06:34,11:06:34,77507,52,1,0,30.989,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:07:44,11:07:44,77508,53,1,0,31.466,0,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:09:00,11:09:00,79050,54,1,0,31.980,1,
3310289-HSL-A21-HSL_GTFS-Semaine-03,11:15:00,11:15:00,79118,55,1,0,34.642,1,
3310289-HSL-H22-HSL_GTFS-Semaine-01,10:20:00,10:20:00,79000,1,0,0,0.000,1,
3310289-HSL-H22-HSL_GTFS-Semaine-01,10:21:10,10:21:10,79054,2,0,0,0.691,0,
3310289-HSL-H22-HSL_GTFS-Semaine-01,10:21:31,10:21:31,79055,3,0,0,0.897,0,
3310289-HSL-H22-HSL_GTFS-Semaine-01,10:22:04,10:22:04,79006,4,0,0,1.228,0,
3310289-HSL-H22-HSL_GTFS-Semaine-01,10:22:39,10:22:39,79036,5,0,0,1.568,0,
3310289-HSL-H22-HSL_GTFS-Semaine-01,10:23:21,10:23:21,79056,6,0,0,1.986,0,
3310289-HSL-H22-HSL_GTFS-Semaine-01,10:23:47,10:23:47,79007,7,0,0,2.237,0,
3310289-HSL-H22-HSL_GTFS-Semaine-01,10:24:00,10:24:00,79001,8,0,0,2.369,1,
