shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10317,45.409977,-74.064416,10001,0.000
10317,45.410011,-74.064466,10002,0.005
10317,45.410319,-74.065187,10003,0.071
10317,45.410319,-74.065187,20001,0.071
10317,45.410361,-74.065287,20002,0.081
10317,45.410652,-74.066186,20003,0.158
10317,45.410926,-74.066994,20004,0.228
10317,45.410926,-74.066994,30001,0.228
10317,45.410959,-74.067090,30002,0.237
10317,45.411627,-74.066661,30003,0.318
10317,45.412140,-74.066328,30004,0.381
10317,45.412213,-74.066281,30005,0.390
10317,45.412213,-74.066281,40001,0.390
10317,45.412286,-74.066234,40002,0.399
10317,45.412892,-74.065837,40003,0.473
10317,45.413153,-74.065656,40004,0.505
10317,45.413270,-74.065554,40005,0.521
10317,45.413342,-74.065452,40006,0.532
10317,45.413415,-74.065313,40007,0.545
10317,45.413578,-74.064991,40008,0.577
10317,45.413578,-74.064991,50001,0.577
10317,45.413627,-74.064893,50002,0.586
10317,45.413871,-74.064426,50003,0.632
10317,45.413950,-74.064240,50004,0.649
10317,45.413992,-74.064172,50005,0.656
10317,45.413992,-74.064172,60001,0.656
10317,45.414056,-74.064069,60002,0.666
10317,45.413439,-74.063447,60003,0.750
10317,45.413811,-74.062708,60004,0.822
10317,45.413811,-74.062708,70001,0.822
10317,45.413848,-74.062634,70002,0.829
10317,45.414354,-74.061623,70003,0.926
10317,45.414701,-74.060997,70004,0.988
10317,45.414723,-74.060896,70005,0.996
10317,45.414725,-74.060837,70006,1.001
10317,45.414726,-74.060811,70007,1.003
10317,45.414726,-74.060811,80001,1.003
10317,45.414727,-74.060794,80002,1.004
10317,45.414711,-74.060742,80003,1.009
10317,45.414694,-74.060702,80004,1.012
10317,45.414644,-74.060596,80005,1.022
10317,45.414586,-74.060451,80006,1.036
10317,45.414513,-74.060254,80007,1.053
10317,45.414362,-74.059705,80008,1.099
10317,45.414300,-74.059445,80009,1.121
10317,45.414271,-74.059238,80010,1.137
10317,45.414286,-74.059086,80011,1.149
10317,45.414311,-74.058896,80012,1.164
10317,45.414347,-74.058656,80013,1.183
10317,45.414355,-74.058567,80014,1.190
10317,45.414355,-74.058567,90001,1.190
10317,45.414363,-74.058478,90002,1.197
10317,45.414505,-74.058514,90003,1.214
10317,45.414612,-74.058560,90004,1.226
10317,45.414728,-74.058582,90005,1.239
10317,45.414810,-74.058562,90006,1.248
10317,45.414864,-74.058554,90007,1.254
10317,45.414910,-74.058531,90008,1.260
10317,45.414940,-74.058457,90009,1.266
10317,45.414997,-74.058372,90010,1.276
10317,45.415028,-74.058259,90011,1.285
10317,45.415083,-74.057982,90012,1.308
10317,45.415110,-74.057821,90013,1.321
10317,45.415110,-74.057821,100001,1.321
10317,45.415130,-74.057704,100002,1.330
10317,45.415343,-74.057771,100003,1.354
10317,45.415477,-74.057819,100004,1.370
10317,45.415698,-74.057938,100005,1.396
10317,45.415864,-74.058053,100006,1.416
10317,45.416067,-74.058170,100007,1.441
10317,45.416129,-74.058201,100008,1.448
10317,45.416385,-74.058348,100009,1.479
10317,45.416474,-74.058380,100010,1.489
10317,45.416555,-74.058386,100011,1.498
10317,45.416663,-74.058369,100012,1.510
10317,45.416828,-74.058304,100013,1.529
10317,45.416916,-74.058263,100014,1.540
10317,45.416916,-74.058263,110001,1.540
10317,45.416993,-74.058227,110002,1.548
10317,45.416865,-74.057552,110003,1.603
10317,45.416822,-74.057242,110004,1.628
10317,45.416795,-74.056997,110005,1.647
10317,45.416787,-74.056971,110006,1.649
10317,45.416714,-74.056505,110007,1.687
10317,45.416681,-74.056154,110008,1.715
10317,45.416681,-74.056154,120001,1.715
10317,45.416676,-74.056093,120002,1.720
10317,45.416668,-74.056054,120003,1.723
10317,45.416652,-74.056015,120004,1.726
10317,45.416576,-74.055855,120005,1.741
10317,45.416499,-74.055760,120006,1.753
10317,45.416351,-74.055621,120007,1.772
10317,45.416227,-74.055548,120008,1.787
10317,45.416200,-74.055559,120009,1.790
10317,45.416056,-74.055561,120010,1.806
10317,45.415829,-74.055621,120011,1.832
10317,45.415754,-74.055679,120012,1.842
10317,45.415727,-74.055726,120013,1.846
10317,45.415727,-74.055726,130001,1.846
10317,45.415697,-74.055777,130002,1.852
10317,45.415566,-74.055652,130003,1.869
10317,45.415419,-74.055488,130004,1.890
10317,45.415185,-74.055253,130005,1.922
10317,45.414978,-74.055007,130006,1.952
10317,45.414952,-74.054980,130007,1.955
10317,45.414707,-74.054769,130008,1.987
10317,45.414526,-74.054577,130009,2.012
10317,45.414526,-74.054577,140001,2.012
10317,45.414473,-74.054522,140002,2.020
10317,45.415259,-74.052995,140003,2.168
10317,45.415530,-74.052491,140004,2.217
10317,45.415664,-74.052296,140005,2.239
10317,45.415813,-74.052154,140006,2.259
10317,45.415988,-74.052039,140007,2.280
10317,45.416217,-74.051941,140008,2.307
10317,45.416347,-74.051848,140009,2.323
10317,45.416433,-74.051701,140010,2.338
10317,45.416475,-74.051538,140011,2.352
10317,45.416491,-74.051360,140012,2.365
10317,45.416518,-74.051107,140013,2.386
10317,45.416555,-74.050854,140014,2.406
10317,45.416620,-74.050552,140015,2.430
10317,45.416684,-74.050275,140016,2.453
