stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
71998,1e Boulevard / 11e Avenue,  45.394541, -73.984991,,71998,1
71999,1e Boulevard / 11e Avenue,  45.393884, -73.985183,,71999,1
72000,Oakland / Lakeview,  45.460170, -74.149628,6,72000,0
72001,Lakeview / Maple,  45.459127, -74.147719,6,72001,0
72002,Lakeview / Selkirk,  45.458128, -74.145996,6,72002,0
72003,Lakeview / Cedar,  45.456790, -74.144175,6,72003,0
72004,Lakeview / Cameron,  45.455684, -74.142058,6,72004,0
72005,Cameron / Saint-Jean,  45.456762, -74.141051,6,72005,0
72006,Cameron / Main,  45.457855, -74.139868,6,72006,0
72007,Côte Saint-Charles / Bridle Path,  45.447959, -74.166563,6,72007,0
72008,Main / Mount Pleasant,  45.454707, -74.135712,6,72008,0
72009,Mount Pleasant / devant le #90,  45.452290, -74.140149,6,72009,0
72010,Mount Pleasant / Upper McNaughten,  45.452894, -74.142366,6,72010,0
72011,Mount Pleasant / Cameron,  45.452975, -74.146358,6,72011,0
72012,Cameron / Wellesley,  45.450956, -74.149604,6,72012,0
72013,Cameron / Fairhaven,  45.445023, -74.148219,6,72013,0
72014,Côte Saint-Charles / Windcrest,  45.451043, -74.163533,6,72014,0
72015,Côte Saint-Charles / devant l'École Westwood,  45.461964, -74.153007,6,72015,0
72016,Côte Saint-Charles / Forestview,  45.453981, -74.160783,6,72016,0
72017,Côte Saint-Charles / Hillside,  45.456495, -74.158294,6,72017,0
72018,Côte Saint-Charles / Ridge,  45.459593, -74.155338,6,72018,0
72019,Côte Saint-Charles / Main,  45.464243, -74.150816,6,72019,0
72020,de Provence / Raimbeau,  45.379947, -73.945887,4,72020,0
72021,de Provence / Raimbeau,  45.379760, -73.946097,4,72021,0
72022,Montée Sagala / Henriette,  45.399328, -73.951855,4,72022,0
72023,Montée Sagala / Henriette,  45.399477, -73.951865,4,72023,0
72024,Grand Boulevard / 4e Rue,  45.391829, -73.960966,4,72024,0
72025,4e Rue / Grand Boulevard,  45.391899, -73.960840,4,72025,0
72026,Grand Boulevard / 4e Rue,  45.392013, -73.960935,4,72026,0
72027,4e Rue / 7e Avenue,  45.391251, -73.959537,4,72027,0
72028,4e Rue / 7e Avenue,  45.391273, -73.959755,4,72028,0
72029,Boischatel / de Provence,  45.384639, -73.943819,4,72029,0
72030,Boischatel / de Provence,  45.384541, -73.943713,4,72030,0
72031,du Boisé / 4e Rue,  45.390547, -73.958186,4,72031,0
72032,4e Rue / du Boisé,  45.390487, -73.958345,4,72032,0
72033,Boischatel / des Bouleaux,  45.385584, -73.946218,4,72033,0
72034,Boischatel / des Bouleaux,  45.385563, -73.946421,4,72034,0
72035,Don-Quichotte / 24e Avenue,  45.382708, -73.951802,4,72035,0
72036,Don-Quichotte / devant le LILO,  45.388096, -73.961544,4,72036,0
72037,Grand Boulevard / Don-Quichotte,  45.388287, -73.965066,4,72037,0
72038,Don-Quichotte / Grand Boulevard,  45.389110, -73.963357,4,72038,0
72039,Don-Quichotte / Grand Boulevard,  45.389270, -73.964375,4,72039,0
72040,Gare Île-Perrot Quai 4,  45.395972, -73.963554,4,72040,0
72041,Gare Île-Perrot Quai 3,  45.396104, -73.963702,4,72041,0
72042,Grand Boulevard / devant le #405,  45.389760, -73.963292,4,72042,0
72043,Grand Boulevard / devant le #400,  45.389875, -73.963426,4,72043,0
72044,de Provence / de Marseille,  45.381996, -73.944903,4,72044,0
72045,de Provence / de Marseille,  45.382188, -73.944917,4,72045,0
72046,des Érables / Giffard,  45.388223, -73.944276,4,72046,0
72047,des Érables / Giffard,  45.388301, -73.944471,4,72047,0
72048,des Érables / du Port-Joli,  45.386981, -73.942541,4,72048,0
72049,des Érables / du Port-Joli,  45.387015, -73.942767,4,72049,0
72050,des Érables / des Hêtres,  45.389258, -73.945530,4,72050,0
72051,des Érables / des Hêtres,  45.389237, -73.945752,4,72051,0
72052,des Érables / 25e Avenue,  45.389694, -73.947395,4,72052,0
72053,des Érables / 25e Avenue,  45.389675, -73.947610,4,72053,0
72054,23e Avenue / des Érables,  45.390081, -73.949456,4,72054,0
72055,des Érables / 23e Avenue,  45.390182, -73.949334,4,72055,0
72056,23e Avenue / 4e Rue,  45.388464, -73.950354,4,72056,0
72057,4e Rue / 23e Avenue,  45.388351, -73.950458,4,72057,0
72058,4e Rue / des Ancolies,  45.389090, -73.953706,4,72058,0
72059,4e Rue / des Ancolies,  45.389028, -73.954120,4,72059,0
72060,du Parc / des Fougères,  45.389231, -73.955889,4,72060,0
72061,Perrot / 10e Avenue,  45.393410, -73.954154,4,72061,0
72062,10e Avenue / Perrot,  45.393514, -73.954273,4,72062,0
72063,Perrot / 10e Avenue,  45.393406, -73.954426,4,72063,0
72064,Perrot / 7e Avenue,  45.394198, -73.956245,4,72064,0
72065,Perrot / 7e Avenue,  45.394165, -73.956507,4,72065,0
72066,Grand Boulevard / Saint-Pierre,  45.393165, -73.959460,4,72066,0
72067,Grand Boulevard / Saint-Pierre,  45.393342, -73.959437,4,72067,0
72068,Don-Quichotte / devant Carrefour Don-Quichotte,  45.389870, -73.964684,4,72068,0
72069,Don-Quichotte / face au Carrefour Don-Quichotte,  45.390439, -73.966032,4,72069,0
72070,Grand Boulevard / 4e Avenue,  45.396158, -73.957789,4,72070,0
72071,Grand Boulevard / 4e Avenue,  45.396261, -73.958048,4,72071,0
72072,5e Avenue / Grand Boulevard,  45.395574, -73.957388,4,72072,0
72073,5e Avenue / Grand Boulevard,  45.395531, -73.957619,4,72073,0
72074,Aurélien-Séguin / 8e Avenue,  45.396078, -73.953158,4,72074,0
72075,8e Avenue / Aurélien-Séguin,  45.396175, -73.953292,4,72075,0
72076,10e Avenue / Aurélien-Séguin,  45.395373, -73.952102,4,72076,0
72077,Aurélien-Séguin / 10e Avenue,  45.395471, -73.952219,4,72077,0
72078,Perrot / 23e Avenue,  45.393173, -73.948281,4,72078,0
72079,Perrot / 23e Avenue,  45.393093, -73.948523,4,72079,0
72080,27e Avenue / Perrot,  45.392458, -73.945099,4,72080,0
72081,Perrot / 27e Avenue,  45.392603, -73.945007,4,72081,0
72082,Perrot / 27e Avenue,  45.392558, -73.945234,4,72082,0
72083,des Ruisseaux / 27e Avenue,  45.391419, -73.945559,4,72083,0
72084,27e Avenue / des Ruisseaux,  45.391341, -73.945588,4,72084,0
72085,des Ruisseaux / face au 145,  45.391343, -73.943341,4,72085,0
72086,des Ruisseaux / face au 150,  45.391249, -73.943317,4,72086,0
72087,Datura / des Ruisseaux,  45.391206, -73.939995,4,72087,0
72088,des Ruisseaux / Datura,  45.391107, -73.940081,4,72088,0
72089,Datura / Perrot,  45.392242, -73.939372,4,72089,0
72090,Perrot / Datura,  45.392331, -73.939218,4,72090,0
72091,Perrot / Datura,  45.392301, -73.939511,4,72091,0
72092,Perrot / 21e Avenue,  45.393281, -73.950119,4,72092,0
72093,Perrot / 21e Avenue,  45.393198, -73.950249,4,72093,0
72094,Don-Quichotte / devant Galeries Don-Quichotte,  45.388323, -73.962643,4,72094,0
72095,Don-Quichotte / des Rosiers,  45.380524, -73.948004,4,72095,0
72096,Don-Quichotte / des Rosiers,  45.380640, -73.948559,4,72096,0
