shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
A10013,45.717029,-73.472170,10001,0.000
A10013,45.717058,-73.472252,10002,0.007
A10013,45.717178,-73.472598,10003,0.037
A10013,45.717213,-73.472754,10004,0.050
A10013,45.717282,-73.472994,10005,0.070
A10013,45.717361,-73.473233,10006,0.091
A10013,45.717434,-73.473491,10007,0.112
A10013,45.717455,-73.473670,10008,0.127
A10013,45.717533,-73.473907,10009,0.147
A10013,45.717677,-73.474320,10010,0.183
A10013,45.717750,-73.474524,10011,0.201
A10013,45.717750,-73.474524,20001,0.201
A10013,45.717796,-73.474654,20002,0.212
A10013,45.717872,-73.474877,20003,0.231
A10013,45.718014,-73.475283,20004,0.267
A10013,45.718365,-73.476310,20005,0.356
A10013,45.718535,-73.476791,20006,0.398
A10013,45.718694,-73.477261,20007,0.438
A10013,45.719370,-73.479201,20008,0.607
A10013,45.719551,-73.479731,20009,0.653
A10013,45.719585,-73.479809,20010,0.660
A10013,45.719585,-73.479809,30001,0.660
A10013,45.719604,-73.479853,30002,0.664
A10013,45.719897,-73.479838,30003,0.697
A10013,45.720339,-73.479802,30004,0.746
A10013,45.720560,-73.479792,30005,0.771
A10013,45.720963,-73.479765,30006,0.815
A10013,45.721022,-73.479759,30007,0.822
A10013,45.721022,-73.479759,40001,0.822
A10013,45.721086,-73.479751,40002,0.829
A10013,45.721072,-73.479450,40003,0.853
A10013,45.721085,-73.479370,40004,0.859
A10013,45.721122,-73.479317,40005,0.865
A10013,45.721186,-73.479280,40006,0.873
A10013,45.721373,-73.479204,40007,0.894
A10013,45.721666,-73.479066,40008,0.928
A10013,45.722061,-73.478889,40009,0.974
A10013,45.722486,-73.478690,40010,1.024
A10013,45.722486,-73.478690,50001,1.024
A10013,45.722546,-73.478662,50002,1.031
A10013,45.722637,-73.478613,50003,1.042
A10013,45.723004,-73.478214,50004,1.093
A10013,45.723077,-73.478128,50005,1.104
A10013,45.723137,-73.478056,50006,1.113
A10013,45.723343,-73.477834,50007,1.141
A10013,45.723587,-73.477565,50008,1.175
A10013,45.723587,-73.477565,60001,1.175
A10013,45.723626,-73.477521,60002,1.181
A10013,45.723982,-73.477114,60003,1.232
A10013,45.724221,-73.476844,60004,1.266
A10013,45.724529,-73.476487,60005,1.310
A10013,45.724876,-73.476099,60006,1.359
A10013,45.725019,-73.475933,60007,1.379
A10013,45.725019,-73.475933,70001,1.379
A10013,45.725058,-73.475888,70002,1.385
A10013,45.725697,-73.475161,70003,1.476
A10013,45.725903,-73.474916,70004,1.505
A10013,45.726357,-73.474409,70005,1.569
A10013,45.726445,-73.474302,70006,1.582
A10013,45.726655,-73.474063,70007,1.612
A10013,45.727073,-73.473586,70008,1.672
A10013,45.727372,-73.473255,70009,1.714
A10013,45.727424,-73.473157,70010,1.723
A10013,45.727424,-73.473157,80001,1.723
A10013,45.727446,-73.473116,80002,1.727
A10013,45.727511,-73.473296,80003,1.743
A10013,45.727630,-73.473565,80004,1.768
A10013,45.727868,-73.474125,80005,1.819
A10013,45.728449,-73.475506,80006,1.944
A10013,45.728551,-73.475720,80007,1.964
A10013,45.728551,-73.475720,90001,1.964
A10013,45.728584,-73.475789,90002,1.971
A10013,45.728662,-73.475926,90003,1.984
A10013,45.728740,-73.476020,90004,1.996
A10013,45.728812,-73.476093,90005,2.006
A10013,45.728911,-73.476165,90006,2.018
A10013,45.728972,-73.476202,90007,2.025
A10013,45.729105,-73.476242,90008,2.041
A10013,45.729299,-73.476235,90009,2.062
A10013,45.729441,-73.476191,90010,2.078
A10013,45.729628,-73.476158,90011,2.099
A10013,45.729628,-73.476158,100001,2.099
A10013,45.729694,-73.476146,100002,2.107
A10013,45.729863,-73.476099,100003,2.126
A10013,45.730211,-73.476030,100004,2.165
A10013,45.730388,-73.475972,100005,2.185
A10013,45.730580,-73.475928,100006,2.207
A10013,45.730803,-73.475870,100007,2.232
A10013,45.731031,-73.475814,100008,2.257
A10013,45.731235,-73.475750,100009,2.281
A10013,45.731503,-73.475675,100010,2.311
A10013,45.731710,-73.475614,100011,2.334
A10013,45.731954,-73.475538,100012,2.362
A10013,45.732068,-73.475515,100013,2.375
