stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
84125,Montée des Pionniers / Pierre-Le Gardeur,  45.718186, -73.511228,5,84125,0
84795,Saint-Charles / du Grand-Pic,  45.713298, -73.498420,5,84795,0
84830,des Migrateurs / du Bruant,  45.716615, -73.503607,5,84830,0
85016,Supercentre Walmart Lachenaie,  45.718156, -73.501804,5,85016,0
85078,Terminus Radisson,  45.589483, -73.539382,2,85078,0
85080,Montée des Pionniers / de la Croisée,  45.727750, -73.508365,5,85080,0
85086,Hôpital Pierre-Le Gardeur,  45.723879, -73.508005,5,85086,0
85087,Montée des Pionniers / Lucille-Teasdale,  45.726046, -73.508003,5,85087,0
85089,Montée des Pionniers / Pierre-Laporte,  45.709948, -73.512333,5,85089,0
85253,Montée des Pionniers / face au Costco,  45.721294, -73.508301,5,85253,0
85776,Montée des Pionniers / des Fleurs,  45.712928, -73.512270,5,85776,0
87000,de l'Ange-Gardien Nord / Pierrot Ouest,  45.855052, -73.435655,7,87000,0
87001,Adhémar-Raynault / Éthier,  45.890843, -73.428881,7,87001,0
87002,de l'Ange-Gardien Nord / de l'Anémone,  45.849919, -73.428636,7,87002,0
87004,de l'Ange-Gardien Nord / Gilbert,  45.848345, -73.426498,7,87004,0
87005,de l'Ange-Gardien Nord / Turgeon,  45.846518, -73.424023,7,87005,0
87006,de l'Ange-Gardien Nord / Vaillant,  45.845270, -73.422311,7,87006,0
87007,de l'Ange-Gardien Nord / Montreuil,  45.843580, -73.420021,7,87007,0
87008,de l'Ange-Gardien Nord / Michel,  45.840776, -73.416201,7,87008,0
87009,de l'Ange-Gardien Nord / Rang Point-du-Jour Nord,  45.839844, -73.414939,7,87009,0
87010,de l'Ange-Gardien Nord / du Golf,  45.836761, -73.413703,7,87010,0
87011,de l'Ange-Gardien / Barret,  45.834010, -73.416663,7,87011,0
87012,de l'Ange-Gardien / Meilleur,  45.832200, -73.418482,7,87012,0
87013,de l'Ange-Gardien / Dorval,  45.829668, -73.420903,7,87013,0
87014,de l'Ange-Gardien / Notre-Dame,  45.826868, -73.424871,7,87014,0
87015,de l'Ange-Gardien / face au Centre d'hébergement,  45.825219, -73.426097,7,87015,0
87016,1251 rue Notre-Dame,  45.882915, -73.279097,8,87016,0
87017,de l'Ange-Gardien / Forest,  45.822740, -73.430241,7,87017,0
87018,de l'Ange-Gardien / Hector-Papin,  45.821494, -73.432652,7,87018,0
87019,Thibodeau / Labonté,  45.899689, -73.425609,7,87019,0
87020,Labonté / Paré,  45.901438, -73.427888,7,87020,0
87021,Ouellet / Gareau,  45.901418, -73.429287,7,87021,0
87022,Gareau / de l'Ange-Gardien Nord,  45.900421, -73.430948,7,87022,0
87023,Saint-Étienne / de l'Ange-Gardien,  45.813489, -73.428251,7,87023,0
87024,Saint-Étienne / de l'Ange-Gardien,  45.812077, -73.429752,7,87024,0
87025,Rg du Bas-L'Assomption Nord / Mtée de l'Épiphanie,  45.807396, -73.435173,7,87025,0
87026,Mtée de l'Épiphanie / Rg du Bas-L'Assomption Sud,  45.804475, -73.433237,6,87026,0
87027,Louis-P.-Picard / devant l'École Félix-Leclerc,  45.791487, -73.410837,6,87027,0
87028,Iberville / Jacques-Cousteau,  45.785369, -73.411029,6,87028,0
87029,Iberville / Contrecoeur,  45.783347, -73.412869,6,87029,0
87030,Iberville / Rembrandt,  45.782033, -73.414080,6,87030,0
87031,Iberville / Philippe-Goulet,  45.779638, -73.416274,6,87031,0
87032,Iberville / Noiseux,  45.777978, -73.417793,6,87032,0
87033,Noiseux / de Navaronne,  45.778600, -73.420414,6,87033,0
87034,Noiseux / de Norvège,  45.778227, -73.422725,6,87034,0
87035,Noiseux / devant le civique #1057,  45.777853, -73.424807,6,87035,0
87036,Noiseux / Néron,  45.776303, -73.426340,6,87036,0
87037,Noiseux / Norbert,  45.774327, -73.427843,6,87037,0
87038,Noiseux / Beauchesne,  45.772886, -73.427569,6,87038,0
87039,Beauchesne / Sirois,  45.771811, -73.430994,6,87039,0
87040,Beauchesne / Sorel,  45.770122, -73.432653,6,87040,0
87041,Beauchesne / Sanguinet,  45.768976, -73.433700,6,87041,0
87042,Beauchesne / Sinclair,  45.767179, -73.435325,6,87042,0
87048,Basile-Routhier / de Toulouse,  45.779469, -73.435752,6,87048,0
87049,Basile-Routhier / des Champs-Élysées,  45.776261, -73.439615,6,87049,0
87050,Basile-Routhier / de Bruyères,  45.775112, -73.442898,6,87050,0
87051,Basile-Routhier / De Coubertin,  45.773924, -73.444659,6,87051,0
87052,Basile-Routhier / Delacroix,  45.772766, -73.445152,6,87052,0
87053,Basile-Routhier / Baudelaire,  45.770793, -73.445091,6,87053,0
87054,Basile-Routhier / Valmont,  45.768270, -73.445927,6,87054,0
87055,Basile-Routhier / de Boisbriand,  45.765051, -73.447411,6,87055,0
87056,Basile-Routhier / de Bécancour,  45.763586, -73.448146,6,87056,0
87057,Basile-Routhier / Beaubien,  45.762442, -73.449719,6,87057,0
87058,Basile-Routhier / Beaupré,  45.761419, -73.452315,6,87058,0
87059,Basile-Routhier / Industriel,  45.759469, -73.454100,6,87059,0
87060,Industriel / de L'Assomption,  45.759949, -73.455274,6,87060,0
87061,de L'Assomption / de Percé,  45.755536, -73.458894,6,87061,0
87062,de L'Assomption / Papineau,  45.754699, -73.460003,6,87062,0
87063,de L'Assomption / Paradis,  45.753758, -73.460990,6,87063,0
87064,de L'Assomption / de la Traverse,  45.752459, -73.462131,6,87064,0
87065,de L'Assomption / Brien,  45.749801, -73.465061,5,87065,0
87066,Brien / devant le CHSLD des Deux-Rives,  45.749053, -73.464731,5,87066,0
87067,Brien / devant l'Aubainerie,  45.747931, -73.463141,5,87067,0
87068,Brien / Marquis,  45.747172, -73.461640,5,87068,0
87069,Leclerc / Brien,  45.744615, -73.454081,6,87069,0
87071,Brien / Marquis,  45.747206, -73.461420,5,87071,0
87072,de L'Assomption / de La Rochelle,  45.748471, -73.467410,5,87072,0
87073,de La Rochelle / Lesage,  45.746274, -73.466726,5,87073,0
87074,de La Rochelle / Gauthier,  45.744654, -73.468096,5,87074,0
87075,de La Rochelle / Marquis,  45.742909, -73.469668,5,87075,0
87076,de La Rochelle / Latour,  45.741710, -73.470720,5,87076,0
87077,de La Rochelle / Lavigne,  45.740003, -73.471120,5,87077,0
87078,de La Rochelle / Cherrier,  45.733477, -73.467942,5,87078,0
87079,Cherrier / Leduc,  45.734127, -73.472953,5,87079,0
87080,Champigny / De Gaulle,  45.733982, -73.475115,5,87080,0
87081,Champigny / Lemieux,  45.732186, -73.475557,5,87081,0
87082,Champigny / Colonia,  45.729758, -73.476205,5,87082,0
87083,Champigny / Benjamin-Moreau,  45.728579, -73.475903,5,87083,0
87084,Champigny / de La Rochelle,  45.727439, -73.473253,5,87084,0
87085,de La Rochelle / Laforest,  45.725126, -73.475904,5,87085,0
