service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CN-H22-LA_GTFS-Semaine-05,1,1,1,1,1,0,0,20220406,20220605
CN-H22-LA_GTFS-Semaine-05-0000100,0,0,0,0,1,0,0,20220406,20220605
CN-H22-LA_GTFS-Semaine-05-1010100,1,0,1,0,1,0,0,20220406,20220605
CN-H22-LA_GTFS-Semaine-06,1,1,1,1,1,0,0,20220406,20220605
CN-H22-LA_GTFS-Semaine-06-0000100,0,0,0,0,1,0,0,20220406,20220605
CN-H22-LA_GTFS-Semaine-06-1010100,1,0,1,0,1,0,0,20220406,20220605
CN-H22-LA_GTFS-Samedi-01,0,0,0,0,0,1,0,20220406,20220605
CN-H22-LA_GTFS-Samedi-03,0,0,0,0,0,1,0,20220406,20220605
CN-H22-LA_GTFS-Dimanche-01,0,0,0,0,0,0,1,20220406,20220605
CN-H22-LA_GTFS-Dimanche-03,0,0,0,0,0,0,1,20220406,20220605
CN-H22-LA_GTFS-Fête-1-01,0,0,0,0,0,0,0,20220406,20220605
CN-H22-LA_GTFS-Fête-2-01,0,0,0,0,0,0,0,20220406,20220605
