service_id,date,exception_type
CN-H22-LA_GTFS-Semaine-05,20220411,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220411,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220411,2
CN-H22-LA_GTFS-Semaine-05,20220412,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220412,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220412,2
CN-H22-LA_GTFS-Semaine-05,20220413,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220413,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220413,2
CN-H22-LA_GTFS-Semaine-05,20220414,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220414,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220414,2
CN-H22-LA_GTFS-Semaine-05,20220415,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220415,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220415,2
CN-H22-LA_GTFS-Semaine-05,20220418,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220418,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220418,2
CN-H22-LA_GTFS-Semaine-05,20220419,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220419,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220419,2
CN-H22-LA_GTFS-Semaine-05,20220420,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220420,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220420,2
CN-H22-LA_GTFS-Semaine-05,20220421,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220421,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220421,2
CN-H22-LA_GTFS-Semaine-05,20220422,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220422,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220422,2
CN-H22-LA_GTFS-Semaine-05,20220425,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220425,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220425,2
CN-H22-LA_GTFS-Semaine-05,20220426,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220426,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220426,2
CN-H22-LA_GTFS-Semaine-05,20220427,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220427,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220427,2
CN-H22-LA_GTFS-Semaine-05,20220428,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220428,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220428,2
CN-H22-LA_GTFS-Semaine-05,20220429,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220429,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220429,2
CN-H22-LA_GTFS-Semaine-05,20220502,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220502,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220502,2
CN-H22-LA_GTFS-Semaine-05,20220503,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220503,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220503,2
CN-H22-LA_GTFS-Semaine-05,20220504,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220504,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220504,2
CN-H22-LA_GTFS-Semaine-05,20220505,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220505,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220505,2
CN-H22-LA_GTFS-Semaine-05,20220506,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220506,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220506,2
CN-H22-LA_GTFS-Semaine-05,20220509,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220509,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220509,2
CN-H22-LA_GTFS-Semaine-05,20220510,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220510,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220510,2
CN-H22-LA_GTFS-Semaine-05,20220511,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220511,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220511,2
CN-H22-LA_GTFS-Semaine-05,20220512,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220512,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220512,2
CN-H22-LA_GTFS-Semaine-05,20220513,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220513,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220513,2
CN-H22-LA_GTFS-Semaine-05,20220516,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220516,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220516,2
CN-H22-LA_GTFS-Semaine-05,20220517,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220517,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220517,2
CN-H22-LA_GTFS-Semaine-05,20220518,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220518,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220518,2
CN-H22-LA_GTFS-Semaine-05,20220519,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220519,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220519,2
CN-H22-LA_GTFS-Semaine-05,20220520,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220520,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220520,2
CN-H22-LA_GTFS-Semaine-05,20220523,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220523,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220523,2
CN-H22-LA_GTFS-Semaine-05,20220524,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220524,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220524,2
CN-H22-LA_GTFS-Semaine-05,20220525,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220525,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220525,2
CN-H22-LA_GTFS-Semaine-05,20220526,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220526,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220526,2
CN-H22-LA_GTFS-Semaine-05,20220527,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220527,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220527,2
CN-H22-LA_GTFS-Semaine-05,20220530,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220530,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220530,2
CN-H22-LA_GTFS-Semaine-05,20220531,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220531,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220531,2
CN-H22-LA_GTFS-Semaine-05,20220601,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220601,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220601,2
CN-H22-LA_GTFS-Semaine-05,20220602,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220602,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220602,2
CN-H22-LA_GTFS-Semaine-05,20220603,2
CN-H22-LA_GTFS-Semaine-05-0000100,20220603,2
CN-H22-LA_GTFS-Semaine-05-1010100,20220603,2
CN-H22-LA_GTFS-Semaine-06,20220406,2
CN-H22-LA_GTFS-Semaine-06-0000100,20220406,2
CN-H22-LA_GTFS-Semaine-06-1010100,20220406,2
CN-H22-LA_GTFS-Semaine-06,20220407,2
CN-H22-LA_GTFS-Semaine-06-0000100,20220407,2
CN-H22-LA_GTFS-Semaine-06-1010100,20220407,2
CN-H22-LA_GTFS-Semaine-06,20220408,2
CN-H22-LA_GTFS-Semaine-06-0000100,20220408,2
CN-H22-LA_GTFS-Semaine-06-1010100,20220408,2
CN-H22-LA_GTFS-Semaine-06,20220415,2
CN-H22-LA_GTFS-Semaine-06-0000100,20220415,2
CN-H22-LA_GTFS-Semaine-06-1010100,20220415,2
CN-H22-LA_GTFS-Semaine-06,20220418,2
CN-H22-LA_GTFS-Semaine-06-0000100,20220418,2
CN-H22-LA_GTFS-Semaine-06-1010100,20220418,2
CN-H22-LA_GTFS-Semaine-06,20220523,2
CN-H22-LA_GTFS-Semaine-06-0000100,20220523,2
CN-H22-LA_GTFS-Semaine-06-1010100,20220523,2
CN-H22-LA_GTFS-Samedi-01,20220416,2
CN-H22-LA_GTFS-Samedi-01,20220423,2
CN-H22-LA_GTFS-Samedi-01,20220430,2
CN-H22-LA_GTFS-Samedi-01,20220507,2
CN-H22-LA_GTFS-Samedi-01,20220514,2
CN-H22-LA_GTFS-Samedi-01,20220521,2
CN-H22-LA_GTFS-Samedi-01,20220528,2
CN-H22-LA_GTFS-Samedi-01,20220604,2
CN-H22-LA_GTFS-Samedi-03,20220409,2
CN-H22-LA_GTFS-Dimanche-01,20220417,2
CN-H22-LA_GTFS-Dimanche-01,20220424,2
CN-H22-LA_GTFS-Dimanche-01,20220501,2
CN-H22-LA_GTFS-Dimanche-01,20220508,2
CN-H22-LA_GTFS-Dimanche-01,20220515,2
CN-H22-LA_GTFS-Dimanche-01,20220522,2
CN-H22-LA_GTFS-Dimanche-01,20220529,2
CN-H22-LA_GTFS-Dimanche-01,20220605,2
CN-H22-LA_GTFS-Dimanche-03,20220410,2
CN-H22-LA_GTFS-Fête-1-01,20220415,1
