route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
100,CITLA,100,Saint-Jérôme - secteur Bellefeuille sud,3,1F1F1F,FFFFFF
101,CITLA,101,Saint-Jérôme - secteur Saint-Antoine,3,1F1F1F,FFFFFF
102,CITLA,102,Saint-Jérôme - secteur Lafontaine,3,1F1F1F,FFFFFF
103,CITLA,103,Saint-Jérôme - secteur Centre,3,1F1F1F,FFFFFF
105,CITLA,105,Saint-Jérôme - secteur Bellefeuille nord,3,1F1F1F,FFFFFF
107,CITLA,107,Saint-Jérôme - Bellefeuille sud (Lajeunesse),3,1F1F1F,FFFFFF
11,CITLA,11,Laval - Rosemère - Sainte-Thérèse,3,1F1F1F,FFFFFF
12,CITLA,12,Bois-des-Filion - Gare Rosemère,3,1F1F1F,FFFFFF
15,CITLA,15,Rosemère - Gare Rosemère,3,1F1F1F,FFFFFF
17,CITLA,17,Terrebonne - Gare Rosemère,3,1F1F1F,FFFFFF
20,CITLA,20,Terrebonne ouest - Gare Rosemère,3,1F1F1F,FFFFFF
22,CITLA,22,Bois-des-Filion - Sainte-Thérèse,3,1F1F1F,FFFFFF
2201,CITLA,2201,PST - Rosemère,3,1F1F1F,FFFFFF
2202,CITLA,2202,PST - Rosemère,3,1F1F1F,FFFFFF
2203,CITLA,2203,PST - Bois-des-Filion,3,1F1F1F,FFFFFF
2204,CITLA,2204,RN - Rosemère,3,1F1F1F,FFFFFF
23,CITLA,23,Sainte-Anne-des-Plaines - Sainte-Thérèse,3,1F1F1F,FFFFFF
24,CITLA,24,Sainte-Anne-des-Plaines - Laval (métro Cartier),3,1F1F1F,FFFFFF
27,CITLA,27,Lorraine - Sainte-Thérèse,3,1F1F1F,FFFFFF
2701,CITLA,2701,PST - Loraine,3,1F1F1F,FFFFFF
2702,CITLA,2702,RN - Bois-des-Filion,3,1F1F1F,FFFFFF
2704,CITLA,2704,RN - Lorraine,3,1F1F1F,FFFFFF
2706,CITLA,2706,RN - Lorraine,3,1F1F1F,FFFFFF
2707,CITLA,2707,RN - Lorraine,3,1F1F1F,FFFFFF
28,CITLA,28,Terrebonne - Laval (métro Cartier),3,1F1F1F,FFFFFF
404,CITLA,404,Service Express Centre-Ville/Deux-Montagnes,3,1F1F1F,FFFFFF
496,CITLA,496,Navette Deux-Montagnes - Sunnybrooke,3,1F1F1F,FFFFFF
498,CITLA,498,St-Eustache - Ste-Dorothée - Centre-ville,3,1F1F1F,FFFFFF
499,CITLA,499,Service Express Côte-Vertu / Deux-Montagnes,3,1F1F1F,FFFFFF
5004,CITLA,5004,PST - Rosemère,3,1F1F1F,FFFFFF
51,CITLA,51,Boisbriand Nord vers Boisbriand Sud,3,1F1F1F,FFFFFF
5101,CITLA,5101,JJR - Boisbriand secteur Chateauneuf,3,1F1F1F,FFFFFF
5102,CITLA,5102,JJR - Boisbriand secteur Chateauneuf,3,1F1F1F,FFFFFF
52,CITLA,52,Boisbriand Sud vers Boisbriand Nord,3,1F1F1F,FFFFFF
5201,CITLA,5201,JJR - Boisbriand secteur Curé-Boivin,3,1F1F1F,FFFFFF
5202,CITLA,5202,JJR - Boisbriand secteur Curé-Boivin,3,1F1F1F,FFFFFF
5203,CITLA,5203,RN - Sainte-Thérèse,3,1F1F1F,FFFFFF
59,CITLA,59,Boisbriand - Laval (métro Montmorency),3,1F1F1F,FFFFFF
