stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
76142,Terminus Centre-Ville Porte 13,  45.498142, -73.565918,1,76142,0
76288,Terminus Mansfield Quai 2,  45.498401, -73.564190,1,76288,0
80000,Arthur-Sauvé / Hémond,  45.561037, -73.898719,5,80000,0
80001,Féré / Latour,  45.556113, -73.898242,5,80001,0
80002,Féré / du Plateau,  45.554767, -73.896413,5,80002,0
80003,Féré / Dumont,  45.553729, -73.895030,5,80003,0
80004,Féré / d'Oka,  45.552990, -73.894176,5,80004,0
80005,Guy / 2e Avenue Nord,  45.551422, -73.894812,5,80005,0
80006,Guy / 2e Avenue,  45.550699, -73.895860,5,80006,0
80007,Guy / 4e Avenue,  45.549518, -73.897551,5,80007,0
80008,Guy / 6e Avenue,  45.548504, -73.899034,5,80008,0
80009,Guy / 8e Avenue,  45.547518, -73.900500,5,80009,0
80010,d'Oka / 9e Avenue,  45.541094, -73.893333,5,80010,0
80011,8e Avenue / Henri-Dunant,  45.544392, -73.896530,5,80011,0
80013,d'Oka / 11e Avenue,  45.539941, -73.894525,5,80013,0
80015,Terminus Le Carrefour,  45.568654, -73.747570,3,80015,0
80016,Le Carrefour / Terminus le Carrefour,  45.569211, -73.748086,3,80016,0
80019,13e Avenue / 38e Rue,  45.512310, -73.962978,6,80019,0
80020,d'Oka / 14e Avenue,  45.537788, -73.896619,5,80020,0
80021,d'Oka / 16e Avenue,  45.536941, -73.898281,5,80021,0
80022,d'Oka / 18e Avenue,  45.535983, -73.900010,5,80022,0
80023,d'Oka / 20e Avenue,  45.534881, -73.901678,5,80023,0
80024,13e Avenue / devant le civique #435,  45.510467, -73.960391,6,80024,0
80025,13e Avenue / de la Chapelle,  45.507220, -73.955968,6,80025,0
80026,de la Chapelle / 18e Avenue,  45.504777, -73.958081,6,80026,0
80027,de la Chapelle / 25e Avenue,  45.503070, -73.959636,6,80027,0
80028,Deux-Montagnes / Antonin-Campeau,  45.546597, -73.911985,5,80028,0
80029,Deux-Montagnes / Baudouin,  45.548668, -73.912718,5,80029,0
80030,Deux-Montagnes / Montaigne,  45.556676, -73.915168,5,80030,0
80031,Deux-Montagnes / Baudouin,  45.548632, -73.913073,5,80031,0
80032,Deux-Montagnes / Ovila-Forget,  45.546702, -73.912371,5,80032,0
80034,de la Chapelle / 29e Avenue,  45.502020, -73.962343,6,80034,0
80035,de la Chapelle / 31e Avenue,  45.501580, -73.964014,6,80035,0
80036,des Promenades / devant le Faubourg de la Gare,  45.534288, -73.930010,6,80036,0
80037,de la Chapelle / Basile-Routhier,  45.499777, -73.967332,6,80037,0
80038,de la Chapelle / Montée de la Baie,  45.498619, -73.969925,6,80038,0
80039,de l'Érablière / des Laurentides,  45.679220, -73.778967,5,80039,0
80040,Montée de la Baie / André-Soucy,  45.500309, -73.972377,6,80040,0
80041,André-Soucy / 43e Avenue,  45.499077, -73.974329,6,80041,0
80042,d'Oka / 20e Avenue,  45.534435, -73.902369,5,80042,0
80043,André-Soucy / 48e Avenue,  45.497302, -73.976908,6,80043,0
80044,André-Soucy / 52e Avenue,  45.495743, -73.979259,6,80044,0
80045,d'Oka / 26e Avenue,  45.532953, -73.907469,5,80045,0
80046,d'Oka / 1re Avenue,  45.532198, -73.911576,6,80046,0
80047,d'Oka / 8e Avenue,  45.532918, -73.921725,6,80047,0
80048,d'Oka / 14e Avenue,  45.531387, -73.926450,6,80048,0
80049,d'Oka / 17e Avenue,  45.530467, -73.928427,6,80049,0
80050,d'Oka / face au civique #2978,  45.529502, -73.931052,6,80050,0
80051,d'Oka / 23e Avenue,  45.528986, -73.935659,6,80051,0
80052,d'Oka / de l'Église,  45.528405, -73.941358,6,80052,0
