stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
MARS22CP40002,40002,terminus Henri-Bourassa Quai: 4,-73.66721,45.555819,0,0,1,0
MARS22CP40102,40102,terminus Henri-Bourassa,-73.66729,45.556091,0,0,1,0
MARS22CP40131,40131,terminus Henri-Bourassa,-73.66755,45.557023,0,0,2,0
MARS22CP40144,40144,métro Côte-Vertu Quai: 20,-73.68271,45.513219,0,0,1,0
MARS22CP40151,40151,métro Côte-Vertu Quai: 19,-73.68253,45.513359,0,0,1,0
MARS22CP40155,40155,terminus Henri-Bourassa,-73.66861,45.554101,0,0,2,0
MARS22CP40313,40313,métro Côte-Vertu,-73.68253,45.513359,0,0,2,0
MARS22CP40713,40713,Métro Côte-Vertu,-73.68225,45.513608,0,0,2,0
MARS22CP40802,40802,métro Côte-Vertu Quai: 18,-73.68225,45.513608,0,0,1,0
MARS22CP40925,40925,métro Radisson Quai: 6,-73.54004,45.589823,0,0,1,0
MARS22CP40935,40935,métro Radisson / Radisson,-73.53936,45.589521,0,0,2,0
MARS22CP41004,41004,de Langeais / de Gascogne,-73.71004,45.576805,0,0,1,0
MARS2241005,41005,Ampère / Léo-Lacombe,-73.70736,45.560248,0,0,2,0
MARS22CP41006,41006,Ampère / de Clairvaux,-73.70785,45.561048,0,0,2,0
MARS2241008,41008,Ampère / Léo-Lacombe,-73.70702,45.560188,0,0,2,0
MARS22CP41009,41009,Des Lacasse / d'Aveiro,-73.72841,45.631258,0,0,2,0
MARS2241010,41010,Des Lacasse / de Gap,-73.73133,45.628949,0,0,2,0
MARS2241011,41011,Des Lacasse / René-Laennec,-73.73322,45.628009,0,0,2,0
MARS2241012,41012,René-Laennec / Prudentiel,-73.72971,45.624966,0,0,1,0
MARS2241013,41013,René-Laennec / Aladin,-73.72576,45.621303,0,0,1,0
MARS2241014,41014,René-Laennec / Bellerose,-73.72402,45.619695,0,0,1,0
MARS2241015,41015,René-Laennec / de Lausanne,-73.72498,45.620593,0,0,1,0
MARS2241016,41016,Prudentiel / de Montévideo,-73.72165,45.624658,0,0,2,0
MARS2241017,41017,Prudentiel / De La Gironde,-73.72268,45.626179,0,0,2,0
MARS2241018,41018,Le Carrefour / Le Corbusier,-73.74198,45.572103,0,0,1,0
MARS2241020,41020,Alton-Goldbloom / Dale,-73.73824,45.546618,0,0,1,0
MARS22CP41022,41022,Alton-Goldbloom / face à l'hôpital,-73.73698,45.548421,0,0,1,1
MARS2241028,41028,de l'Avenir / Souvenir,-73.72204,45.561381,0,0,1,1
MARS2241029,41029,4e Avenue / 5e Avenue,-73.77089,45.642547,0,0,2,0
MARS2241030,41030,5e Avenue / 12e Avenue,-73.77029,45.640354,0,0,2,0
MARS2241031,41031,5e Avenue / 8e Avenue,-73.77056,45.641352,0,0,2,0
MARS2241032,41032,4e Avenue / 7e Avenue,-73.76979,45.64274,0,0,2,0
MARS2241033,41033,12e Avenue / Parc-des-Érables,-73.76945,45.640194,0,0,2,0
MARS2241039,41039,12e Avenue / 19e Rue,-73.70308,45.566834,0,0,1,0
MARS2241040,41040,12e Avenue / 19e Rue,-73.70341,45.56686,0,0,1,0
MARS2241041,41041,12e Avenue / du Souvenir,-73.7056,45.569187,0,0,1,0
MARS2241042,41042,12e Avenue / de Côte d'Azur,-73.7055,45.568692,0,0,2,0
