shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
110105,45.352824,-73.474304,10001,0.000
110105,45.352872,-73.474335,10002,0.006
110105,45.352989,-73.474426,10003,0.021
110105,45.353469,-73.474841,10004,0.083
110105,45.353707,-73.475013,10005,0.113
110105,45.353974,-73.475166,10006,0.145
110105,45.353988,-73.475170,10007,0.146
110105,45.353988,-73.475170,20001,0.146
110105,45.354165,-73.475235,20002,0.167
110105,45.354262,-73.475257,20003,0.178
110105,45.354464,-73.475285,20004,0.200
110105,45.354950,-73.475324,20005,0.254
110105,45.354950,-73.475324,30001,0.254
110105,45.354981,-73.475326,30002,0.258
110105,45.354934,-73.475504,30003,0.273
110105,45.354892,-73.475674,30004,0.287
110105,45.354850,-73.475808,30005,0.298
110105,45.354791,-73.475950,30006,0.311
110105,45.354313,-73.476788,30007,0.396
110105,45.353859,-73.477606,30008,0.477
110105,45.353813,-73.477666,30009,0.484
110105,45.353762,-73.477721,30010,0.491
110105,45.353699,-73.477769,30011,0.499
110105,45.353646,-73.477831,30012,0.507
110105,45.353429,-73.478295,30013,0.550
110105,45.353869,-73.478739,30014,0.611
110105,45.353891,-73.478782,30015,0.615
110105,45.353898,-73.478841,30016,0.619
110105,45.353889,-73.478901,30017,0.624
110105,45.353867,-73.478968,30018,0.630
110105,45.353172,-73.480394,30019,0.766
110105,45.353132,-73.480432,30020,0.771
110105,45.353093,-73.480444,30021,0.776
110105,45.353050,-73.480436,30022,0.781
110105,45.352613,-73.479997,30023,0.840
110105,45.352613,-73.479997,40001,0.840
110105,45.352565,-73.479948,40002,0.847
110105,45.353415,-73.478322,40003,1.005
110105,45.353415,-73.478322,50001,1.005
110105,45.353429,-73.478295,50002,1.008
110105,45.353646,-73.477831,50003,1.052
110105,45.353699,-73.477769,50004,1.059
110105,45.353762,-73.477721,50005,1.067
110105,45.353813,-73.477666,50006,1.074
110105,45.353859,-73.477606,50007,1.081
110105,45.354313,-73.476788,50008,1.163
110105,45.354791,-73.475950,50009,1.247
110105,45.354850,-73.475808,50010,1.260
110105,45.354892,-73.475674,50011,1.272
110105,45.354934,-73.475504,50012,1.286
110105,45.354981,-73.475326,50013,1.301
110105,45.355292,-73.475387,50014,1.336
110105,45.355503,-73.475452,50015,1.360
110105,45.355606,-73.475496,50016,1.372
110105,45.355708,-73.475551,50017,1.384
110105,45.355770,-73.475593,50018,1.391
110105,45.355908,-73.475688,50019,1.409
110105,45.356006,-73.475767,50020,1.421
110105,45.356200,-73.475948,50021,1.447
110105,45.356423,-73.476166,50022,1.477
110105,45.356891,-73.476625,50023,1.540
110105,45.356891,-73.476625,60001,1.540
110105,45.356938,-73.476670,60002,1.547
110105,45.356690,-73.477174,60003,1.595
110105,45.356558,-73.477449,60004,1.621
110105,45.356411,-73.477757,60005,1.650
110105,45.355918,-73.478793,60006,1.748
110105,45.355918,-73.478793,70001,1.748
110105,45.355880,-73.478872,70002,1.755
110105,45.355331,-73.479898,70003,1.856
110105,45.355781,-73.480357,70004,1.918
110105,45.355923,-73.480499,70005,1.937
110105,45.355923,-73.480499,80001,1.937
110105,45.356000,-73.480575,80002,1.948
110105,45.356438,-73.479718,80003,2.031
110105,45.357077,-73.478467,80004,2.152
110105,45.357122,-73.478365,80005,2.161
110105,45.357167,-73.478327,80006,2.167
110105,45.357203,-73.478314,80007,2.171
110105,45.357257,-73.478314,80008,2.177
110105,45.357329,-73.478353,80009,2.186
110105,45.357337,-73.478361,80010,2.187
110105,45.357337,-73.478361,90001,2.187
110105,45.357473,-73.478493,90002,2.205
110105,45.357824,-73.478851,90003,2.253
110105,45.357914,-73.478914,90004,2.264
110105,45.357987,-73.478990,90005,2.274
110105,45.357986,-73.478940,90006,2.278
110105,45.358040,-73.478812,90007,2.290
110105,45.358193,-73.478531,90008,2.318
110105,45.358292,-73.478352,90009,2.336
110105,45.358345,-73.478260,90010,2.345
110105,45.358345,-73.478260,100001,2.345
110105,45.358419,-73.478132,100002,2.358
110105,45.358480,-73.478192,100003,2.366
110105,45.359710,-73.479421,100004,2.534
110105,45.359710,-73.479421,110001,2.534
110105,45.359790,-73.479500,110002,2.544
110105,45.360424,-73.480136,110003,2.631
110105,45.361158,-73.480851,110004,2.730
110105,45.361158,-73.480851,120001,2.730
110105,45.361547,-73.481230,120002,2.782
110105,45.361737,-73.481413,120003,2.808
110105,45.362252,-73.481850,120004,2.874
110105,45.362597,-73.482096,120005,2.917
110105,45.362824,-73.482236,120006,2.945
110105,45.363173,-73.482434,120007,2.987
110105,45.363766,-73.482753,120008,3.057
110105,45.364015,-73.482875,120009,3.087
110105,45.364176,-73.482938,120010,3.105
110105,45.364176,-73.482938,130001,3.105
110105,45.364281,-73.482981,130002,3.117
110105,45.364399,-73.483028,130003,3.131
110105,45.364663,-73.483106,130004,3.161
110105,45.364936,-73.483166,130005,3.192
110105,45.365488,-73.483256,130006,3.253
110105,45.365639,-73.483279,130007,3.270
110105,45.365639,-73.483279,140001,3.270
110105,45.365698,-73.483288,140002,3.277
110105,45.365896,-73.483316,140003,3.299
110105,45.366169,-73.483342,140004,3.329
110105,45.367261,-73.483396,140005,3.451
110105,45.367401,-73.483402,140006,3.466
110105,45.368286,-73.483427,140007,3.565
110105,45.368328,-73.483428,140008,3.570
110105,45.368818,-73.483443,140009,3.624
110105,45.369188,-73.483440,140010,3.665
110105,45.369428,-73.483415,140011,3.692
110105,45.369909,-73.483338,140012,3.746
110105,45.370213,-73.483317,140013,3.780
110105,45.370213,-73.483317,150001,3.780
110105,45.370369,-73.483306,150002,3.797
110105,45.370646,-73.484480,150003,3.894
110105,45.370735,-73.484818,150004,3.922
110105,45.370904,-73.485442,150005,3.975
110105,45.371023,-73.485935,150006,4.016
110105,45.371353,-73.487157,150007,4.118
110105,45.371385,-73.487299,150008,4.130
110105,45.371397,-73.487342,150009,4.133
110105,45.371440,-73.487516,150010,4.148
110105,45.371464,-73.487624,150011,4.157
