stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
74464,Terminus Panama temporaire Quai 11,  45.466050, -73.470511,3,74464,1
74529,Robert-Bourassa / William,  45.497412, -73.558424,1,74529,0
74550,Terminus Panama temporaire Quai 14,  45.465687, -73.470234,3,74550,0
74701,Robert-Bourassa / Ottawa,  45.496329, -73.557851,1,74701,0
75001,ch. St-Jean / boul. de Palerme,  45.408960, -73.473001,4,75001,1
75002,ch. St-Jean / boul. des Champs-Fleuris,  45.408893, -73.472333,4,75002,1
75003,avenue de la Belle-Dame / rue du Vice-Roi II,  45.402074, -73.466463,4,75003,1
75004,avenue de la Belle-Dame / rue du Vice-Roi II,  45.401849, -73.466363,4,75004,1
75005,boul. Taschereau devant le #1000,  45.407371, -73.497422,4,75005,1
75006,Taschereau / Matte,  45.435278, -73.475778,3,75006,1
75007,Taschereau / Matte,  45.434185, -73.477394,3,75007,1
75010,Matte / Illinois,  45.431654, -73.467789,,75010,1
75011,Matte / civique 3700,  45.430232, -73.462876,3,75011,1
75012,Matte / civique 3900,  45.428370, -73.458857,3,75012,1
75013,du Quartier / Place de Java,  45.429352, -73.454987,3,75013,1
75017,Taschereau / de Rome,  45.454576, -73.465740,3,75017,0
75018,Taschereau / de Rome,  45.454858, -73.465159,3,75018,0
75020,De Gaulle Sud / Perrier,  45.369181, -73.489874,5,75020,0
75021,des Ormes Ouest / Édouard-VII,  45.358415, -73.478541,5,75021,0
75022,De Gaulle Sud / Perrier,  45.369014, -73.489764,5,75022,0
75023,Leduc / Allée de la Place,  45.440838, -73.438822,3,75023,1
75025,Granger / des Ormes Ouest,  45.357291, -73.478440,5,75025,0
75026,Granger / Mercier,  45.356122, -73.480509,5,75026,0
75027,Mercier / Granger,  45.355968, -73.480407,5,75027,0
75028,Granger / des Ormes Ouest,  45.357377, -73.478278,5,75028,0
75029,des Ormes Ouest / Édouard-VII,  45.358288, -73.478194,5,75029,0
75030,Terminus Longueuil porte 23,  45.523610, -73.522245,3,75030,0
75031,Cégep Édouard-Montpetit,  45.536625, -73.495638,3,75031,0
75032,Terminus Panama temporaire Quai 14,  45.465765, -73.469865,3,75032,0
75033,Leduc / Allée Dix30,  45.442046, -73.437240,3,75033,1
75034,Leduc / Allée des Lumières,  45.443885, -73.437194,3,75034,1
75035,Cégep Édouard-Montpetit,  45.536801, -73.495870,3,75035,0
75037,de Chambly / Saint-Charles Ouest,  45.540544, -73.507864,3,75037,0
75038,de Chambly / Saint-Charles Est,  45.540865, -73.507986,3,75038,0
75039,Roland-Therrien / d'Auteuil,  45.548627, -73.495801,3,75039,0
75040,Roland-Therrien / d'Auteuil,  45.547697, -73.495263,3,75040,0
75041,Saint-François-Xavier / Place Mercier,  45.396782, -73.529697,5,75041,0
75042,Terminus Panama temporaire Quai 14,  45.465723, -73.470149,3,75042,0
75043,ch. St-José / avenue Augustin,  45.391694, -73.495714,4,75043,0
75044,du Quartier / Allée Dix30,  45.443112, -73.439878,3,75044,1
75045,de Jaffa / Champlain,  45.392471, -73.528123,5,75045,0
75046,Saint-François-Xavier / de Jaffa,  45.391856, -73.532795,5,75046,0
75047,de la Gatineau / Saint-François-Xavier,  45.386882, -73.532502,5,75047,0
75048,de la Gatineau / de Genève,  45.386776, -73.530187,5,75048,0
75049,de Genève / Haendel,  45.382650, -73.527460,5,75049,0
75050,du Quartier / de Rome,  45.440813, -73.442343,3,75050,1
75051,Montcalm Sud / de Barcelone,  45.390189, -73.512817,5,75051,0
75052,Montcalm Sud / d'Auteuil,  45.387629, -73.507759,5,75052,0
75053,Papineau / de Picardie,  45.399471, -73.505890,5,75053,0
75055,Montcalm Sud / devant le Centre Frank-Vocino,  45.390772, -73.513285,5,75055,0
75056,d'Auteuil / d'Anjou,  45.389371, -73.504600,5,75056,0
75057,boul. de l'Industrie / rue Léon-Bloy ouest,  45.403524, -73.507927,4,75057,0
75058,d'Auteuil / devant le Club de Golf Candiac,  45.389909, -73.501432,5,75058,0
75059,Montcalm Sud / Place Berlioz,  45.385247, -73.506330,5,75059,0
75060,Haendel / Place Halifax (2),  45.389156, -73.518377,5,75060,0
75061,de l'Industrie / d'Ibéria,  45.397528, -73.509177,5,75061,0
75062,de l'Industrie / d'Ibéria,  45.397799, -73.509225,5,75062,0
75063,Jean-Leman / de Bercy,  45.382375, -73.511447,5,75063,0
75064,Jean-Leman / devant le #54,  45.381676, -73.509818,5,75064,0
75065,de Barcelone / de Bercy,  45.384297, -73.513260,5,75065,0
75066,de Barcelone / Place de Bohême,  45.386277, -73.513963,5,75066,0
75067,d'Auteuil / d'Adélaïde,  45.390087, -73.499151,5,75067,0
75068,Montcalm Sud / Asselin (2),  45.382780, -73.506296,5,75068,0
75069,d'Auteuil / Augustin,  45.391457, -73.495720,5,75069,0
75070,d'Auteuil / Montcalm Sud,  45.387772, -73.507700,5,75070,0
75072,de Jaffa / Jackson,  45.392600, -73.529816,5,75072,0
75073,Saint-François-Xavier / de Monaco,  45.390339, -73.532728,5,75073,0
75074,de Genève / Goethe,  45.385225, -73.529734,5,75074,0
75076,Haendel / devant le Complexe Roméo-V.-Patenaude,  45.384102, -73.524806,5,75076,0
75077,du Quartier / Place de Java,  45.429638, -73.455021,3,75077,1
75078,de l'Industrie / face au #172,  45.394647, -73.511799,5,75078,0
75079,de l'Industrie / devant le #170,  45.394759, -73.511961,5,75079,0
75080,Matte / Civique 4105,  45.428722, -73.458977,3,75080,1
75081,d'Auteuil / face au Club de Golf Candiac,  45.390032, -73.501464,5,75081,0
75082,d'Auteuil / d'Adélaïde,  45.390236, -73.498900,5,75082,0
75083,Place de Chambord / Jean-Leman,  45.380539, -73.507790,5,75083,0
75084,Jean-Leman / Montcalm Sud,  45.380910, -73.508213,5,75084,0
75085,d'Auteuil / d'Anjou,  45.389619, -73.504348,5,75085,0
75086,Matte / Civique 3755,  45.430490, -73.463183,3,75086,1
75088,de Barcelone / Place de Bretagne,  45.388292, -73.513535,5,75088,0
75089,Montcalm Nord / face à l'Hôtel de Ville,  45.394824, -73.518423,5,75089,0
75090,Montcalm Nord / face au #108,  45.396910, -73.519981,5,75090,0
75091,Montcalm Nord / d'Inverness,  45.398579, -73.521364,5,75091,0
75092,Champlain / Place Jason,  45.395176, -73.528301,5,75092,0
75094,Jean-Leman / de Barcelone,  45.382625, -73.513270,5,75094,0
75096,Place de Chambord / Champagne,  45.379199, -73.508854,5,75096,0
75097,du Dauphiné / Jean-Leman,  45.378597, -73.503635,5,75097,0
75101,de Barcelone / Montcalm Sud,  45.390024, -73.512548,5,75101,0
75103,de l'Industrie / Montcalm Nord,  45.392173, -73.515011,5,75103,0
75104,de l'Industrie / Montcalm Nord,  45.392263, -73.515121,5,75104,0
75106,Montcalm Nord / Marie-Victorin,  45.400104, -73.523124,5,75106,0
75108,Saint-François-Xavier / Marie-Victorin,  45.398179, -73.527275,5,75108,0
75110,rue Perras / rue du Parc-des-Érables,  45.406017, -73.469751,4,75110,0
75111,rue du Parc-des-Érables / rue de la Providence,  45.406933, -73.471319,4,75111,0
75112,rue du Parc-des-Érables / boul. de Palerme,  45.407885, -73.473396,4,75112,0
75115,boul. des Champs-Fleuris / rue Mirabel,  45.413609, -73.467745,4,75115,0
75116,boul. des Champs-Fleuris / rue Mirabel,  45.413461, -73.467787,4,75116,0
75117,boul. des Champs-Fleuris / rue de l'Iris,  45.414309, -73.465694,4,75117,0
75118,boul. des Champs-Fleuris / rue de l'Iris,  45.414099, -73.465856,4,75118,0
75119,boul. de la Magdeleine / boul. des Champs-Fleuris,  45.414814, -73.464198,4,75119,0
75120,boul. des Champs-Fleuris / boul. de la Magdeleine,  45.414676, -73.464174,4,75120,0
75121,boul. de la Magdeleine / rue des Goélands,  45.417026, -73.466339,4,75121,0
75122,boul. de la Magdeleine / rue des Goélands,  45.416809, -73.466585,4,75122,0
75123,boul. de la Magdeleine / rue des Violettes,  45.416417, -73.468967,4,75123,0
75124,boul. de la Magdeleine / rue des Violettes,  45.416163, -73.468989,4,75124,0
75125,boul. de la Magdeleine / boul. des Prés-Verts,  45.415409, -73.471982,4,75125,0
75126,boul. de la Magdeleine / boul. des Prés-Verts,  45.415104, -73.472172,4,75126,0
75129,boul. de la Magdeleine / rue du Muguet,  45.414429, -73.474882,4,75129,0
75130,boul. de la Magdeleine / rue du Muguet,  45.414174, -73.474931,4,75130,0
75131,ch. St-Jean / boul. de la Mennais,  45.413765, -73.482865,4,75131,0
75132,ch. St-Jean / boul. de la Mennais,  45.413502, -73.482659,4,75132,0
75133,ch. St-Jean / avenue du Maire,  45.414783, -73.484935,4,75133,0
75134,ch. St-Jean / avenue du Maire,  45.414871, -73.485502,4,75134,0
75135,avenue du Maire / rue Ernest-Rochette,  45.417033, -73.475401,4,75135,0
75136,rue Ernest-Rochette / rue Francois-Le-Ber,  45.418458, -73.478400,4,75136,0
75137,rue Ernest-Rochette / rue Patrick-McGee,  45.417108, -73.482044,4,75137,0
75138,rue Ernest-Rochette / place Alexandre,  45.417653, -73.485595,4,75138,0
75140,Stationnement incitatif La Prairie Quai 1,  45.426265, -73.481250,4,75140,0
75141,ch. St-Jean / ch. de la Bataille,  45.389333, -73.403692,5,75141,0
75149,boul. Taschereau / rue St-Henri,  45.413980, -73.490956,4,75149,0
75150,rue Notre-Dame / rue St-Henri,  45.415604, -73.494666,4,75150,0
75152,boul. Taschereau / rue Dufort,  45.410016, -73.495115,4,75152,0
75154,rue Notre-Dame / rue St-Henri,  45.415545, -73.494960,4,75154,0
75155,rue Notre-Dame / rue St-Charles,  45.416881, -73.493398,4,75155,0
75156,boul. Salaberry / boul. Taschereau,  45.407909, -73.497939,4,75156,0
75157,boul. Salaberry / rue Desjardins,  45.408203, -73.502499,4,75157,0
75158,boul. Salaberry / rue Desjardins,  45.408081, -73.502681,4,75158,0
75159,ch. St-Jean / rang St-Raphaël,  45.394026, -73.429066,5,75159,0
75160,rue Notre-Dame / rue St-Charles,  45.417074, -73.493444,4,75160,0
75161,boul. de l'Industrie / boul. Salaberry,  45.408159, -73.506376,4,75161,0
75162,boul. de l'Industrie / boul. Salaberry,  45.408112, -73.506606,4,75162,0
75163,rue Longtin / rue Houde,  45.411478, -73.495053,4,75163,0
75165,ch. St-José / boul. Pompidou,  45.393203, -73.493853,4,75165,0
75166,rue Longtin / rue Houde,  45.411518, -73.494778,4,75166,0
75167,boul. Taschereau / rue Longtin,  45.411264, -73.493940,4,75167,0
75168,boul. Taschereau / rue Longtin,  45.410916, -73.493781,4,75168,0
75169,rue Longtin / rue Notre-Dame,  45.412811, -73.497248,4,75169,0
75170,rue Notre-Dame / rue Longtin,  45.412806, -73.497529,4,75170,0
75171,ch. St-Jean / boul. Taschereau,  45.416198, -73.487765,4,75171,0
75172,ch. St-Jean / boul. Taschereau,  45.416268, -73.488465,4,75172,0
75174,boul. Taschereau / ch. St-Jean,  45.416337, -73.488726,4,75174,0
75175,boul. Taschereau / ch. St-Jean,  45.416726, -73.488795,4,75175,0
75177,Voie de service 15-132 / boul. Salaberry,  45.408161, -73.505312,4,75177,0
75180,boul. Taschereau / avenue Balmoral,  45.420216, -73.486280,4,75180,0
75181,boul. Taschereau / avenue Balmoral,  45.420532, -73.485604,4,75181,0
75182,rue Notre-Dame / ch. St-Jean,  45.418245, -73.492122,4,75182,0
75183,avenue Balmoral / rue Notre-Dame,  45.421016, -73.490290,4,75183,0
75184,rue Bernier / rue Industrielle,  45.400589, -73.496766,4,75184,0
75185,avenue du Maire / rue P.-É.-Lamarche,  45.416043, -73.479488,4,75185,0
75186,boul. des Champs-Fleuris / ch. St-Jean,  45.409381, -73.472056,4,75186,0
75187,boul. des Champs-Fleuris / ch. St-Jean,  45.409420, -73.472415,4,75187,0
75189,boul. de Palerme / ch. St-Jean,  45.408696, -73.473085,4,75189,0
75191,boul. de Palerme / rue Pierre-Lefebvre,  45.407475, -73.474177,4,75191,0
75192,rue Industrielle / rue Bernier,  45.400834, -73.496867,4,75192,0
75193,ch. St-José / rue Industrielle,  45.403098, -73.494729,4,75193,0
75194,boul. Taschereau / rue Conrad-Pelletier,  45.401865, -73.501445,4,75194,0
75195,boul. Taschereau / rue Léon-Bloy est,  45.400899, -73.502674,4,75195,0
75196,rue Bernier / ch. St-José,  45.398650, -73.492178,4,75196,0
75198,boul. Taschereau / avenue Papineau,  45.398995, -73.505076,5,75198,0
75200,ch. St-Jean / face aux Cours du Grand-Boisé,  45.406586, -73.467748,4,75200,0
75201,ch. St-Jean / face au 1975,  45.406666, -73.467483,4,75201,0
75202,rue Notre-Dame / ruelle des Glacières,  45.418485, -73.492142,4,75202,0
75203,rue Industrielle / ch. St-José,  45.402948, -73.494618,4,75203,0
75204,ch. St-José / rue Bernier,  45.398765, -73.492159,4,75204,0
75205,ch. St-Jean / boul. de la Magdeleine,  45.411972, -73.478993,4,75205,0
75206,boul. de la Magdeleine / ch. St-Jean,  45.412264, -73.479178,4,75206,0
75207,ch. St-Jean / boul. de la Magdeleine,  45.411949, -73.479316,4,75207,0
75208,boul. de la Magdeleine / ch. St-Jean,  45.412056, -73.478956,4,75208,0
75211,boul. des Champs-Fleuris / boul. des Prés-Verts,  45.412533, -73.469809,4,75211,0
75213,avenue Balmoral / rue Notre-Dame,  45.420905, -73.490435,4,75213,0
75214,boul. Taschereau / rue St-Charles,  45.415487, -73.489959,4,75214,0
75216,boul. Taschereau / rue St-Charles,  45.415175, -73.489829,4,75216,0
75217,boul. Taschereau / rue Brossard,  45.412906, -73.492394,4,75217,0
75218,boul. Taschereau / rue Brossard,  45.412664, -73.492187,4,75218,0
75219,boul. Taschereau / rue Lavoie,  45.408878, -73.496152,4,75219,0
75220,boul. Salaberry / rue Rouillier,  45.408087, -73.499878,4,75220,0
75221,boul. Salaberry / rue Rouillier,  45.407947, -73.500102,4,75221,0
75222,boul. de l'Industrie / rue Mayer,  45.405014, -73.507652,4,75222,0
75223,rue Longtin / boul. Taschereau,  45.411083, -73.494113,4,75223,0
75224,boul. de l'Industrie / rue Mayer,  45.405229, -73.507783,4,75224,0
75226,ch. St-Jean / rue Abel,  45.410654, -73.476146,4,75226,0
75227,ch. St-Jean / rue Abel,  45.410600, -73.476410,4,75227,0
75228,boul. Salaberry / rue Houde,  45.408186, -73.504751,4,75228,0
75230,boul. Salaberry / rue Houde,  45.408315, -73.504575,4,75230,0
75231,rue Notre-Dame / face à piscine municipale,  45.414203, -73.495929,4,75231,0
75232,rue Notre-Dame / face à piscine municipale,  45.414400, -73.496056,4,75232,0
75234,avenue Balmoral / rue Bellevue,  45.423772, -73.488669,4,75234,0
75235,avenue Balmoral / rue Beaulac,  45.424969, -73.485934,4,75235,0
75236,avenue Balmoral / rue Beaulac,  45.425233, -73.486054,4,75236,0
75237,ch. St-José / rue Léopold-Perron,  45.396639, -73.491682,4,75237,0
75239,boul. St-José / boul. Salaberry,  45.407644, -73.503834,4,75239,0
75241,boul. St-José / face à l'école La Magdeleine,  45.405894, -73.499864,4,75241,0
75242,boul. de Palerme / rue Paradis,  45.405838, -73.474335,4,75242,0
75243,voie de service 15-132 / rue Conrad-Pelletier,  45.404440, -73.507061,4,75243,0
75244,boul. St-José / boul. Salaberry,  45.407912, -73.503566,4,75244,0
75245,boul. St-José / boul. Taschereau,  45.405485, -73.497396,4,75245,0
75246,boul. St-José / rue de la Commune,  45.406173, -73.499669,4,75246,0
75247,avenue Balmoral / rue Beaumont,  45.423172, -73.491329,4,75247,0
75248,avenue Balmoral / place Beausoleil,  45.423359, -73.491450,4,75248,0
75249,avenue Balmoral / rue Beaumont,  45.423677, -73.489016,4,75249,0
75251,De Palerme (arrêt suivant la rue Perron),  45.403000, -73.473488,4,75251,0
75252,boul. de Palerme / rue Perras,  45.403783, -73.473740,4,75252,0
75254,rue Perras / face au 115,  45.404724, -73.471429,4,75254,0
75257,Gare Candiac,  45.360664, -73.514646,5,75257,0
75258,de Ségovie / de Sardaigne,  45.370396, -73.508104,5,75258,0
75259,de la Seine / Jean-Leman,  45.368580, -73.507026,5,75259,0
75261,Terminus Centre-Ville Porte 15,  45.498082, -73.565996,1,75261,0
