route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
22,LR-A21-LR_GTFS-Fête-2-02,3286838-LR-A21-LR_GTFS-Fête-2-02,Champs-Fleuris - de la Magdeleine,1,220121,1,0,0
22,LR-H22-LR_GTFS-Semaine-02,3286838-LR-H22-LR_GTFS-Semaine-02,Champs-Fleuris - de la Magdeleine,1,220121,1,0,0
22,LR-H22-LR_GTFS-Fête-2-03,3286838-LR-H22-LR_GTFS-Fête-2-03,Champs-Fleuris - de la Magdeleine,1,220121,1,0,0
21,LR-H22-LR_GTFS-Semaine-02,3286839-LR-H22-LR_GTFS-Semaine-02,Vieux La Prairie,0,210073,1,0,0
31,LR-A21-LR_GTFS-Fête-2-02,3286840-LR-A21-LR_GTFS-Fête-2-02,Auteuil – Jean-Leman – Barcelone AM,0,310100,1,0,0
31,LR-H22-LR_GTFS-Semaine-02,3286840-LR-H22-LR_GTFS-Semaine-02,Auteuil – Jean-Leman – Barcelone AM,0,310100,1,0,0
31,LR-H22-LR_GTFS-Fête-2-03,3286840-LR-H22-LR_GTFS-Fête-2-03,Auteuil – Jean-Leman – Barcelone AM,0,310100,1,0,0
33,LR-A21-LR_GTFS-Fête-2-02,3286841-LR-A21-LR_GTFS-Fête-2-02,Saint-François-Xav – Fouquet – Haendel,0,330014,1,0,0
33,LR-H22-LR_GTFS-Semaine-02,3286841-LR-H22-LR_GTFS-Semaine-02,Saint-François-Xav – Fouquet – Haendel,0,330014,1,0,0
33,LR-H22-LR_GTFS-Fête-2-03,3286841-LR-H22-LR_GTFS-Fête-2-03,Saint-François-Xav – Fouquet – Haendel,0,330014,1,0,0
T11,LR-A21-LR_GTFS-Fête-2-02,3286842-LR-A21-LR_GTFS-Fête-2-02,Stat incitatif Candiac,1,T110001,2,0,0
T11,LR-H22-LR_GTFS-Semaine-02,3286842-LR-H22-LR_GTFS-Semaine-02,Stat incitatif Candiac,1,T110001,T-    2,0,0
T11,LR-H22-LR_GTFS-Fête-2-03,3286842-LR-H22-LR_GTFS-Fête-2-03,Stat incitatif Candiac,1,T110001,T-    2,0,0
T36,LR-A21-LR_GTFS-Fête-2-02,3286843-LR-A21-LR_GTFS-Fête-2-02,Gare Candiac,0,T360013,1,0,0
T36,LR-H22-LR_GTFS-Semaine-02,3286843-LR-H22-LR_GTFS-Semaine-02,Gare Candiac,0,T360013,T-    1,0,0
T36,LR-H22-LR_GTFS-Fête-2-03,3286843-LR-H22-LR_GTFS-Fête-2-03,Gare Candiac,0,T360013,T-    1,0,0
23,LR-A21-LR_GTFS-Fête-2-02,3286844-LR-A21-LR_GTFS-Fête-2-02,Briqueterie - Palerme,0,230109,1,0,0
23,LR-H22-LR_GTFS-Semaine-02,3286844-LR-H22-LR_GTFS-Semaine-02,Briqueterie - Palerme,0,230109,1,0,0
23,LR-H22-LR_GTFS-Fête-2-03,3286844-LR-H22-LR_GTFS-Fête-2-03,Briqueterie - Palerme,0,230109,1,0,0
21,LR-A21-LR_GTFS-Fête-2-02,3286845-LR-A21-LR_GTFS-Fête-2-02,Vieux La Prairie,0,210073,1,0,0
21,LR-H22-LR_GTFS-Semaine-02,3286845-LR-H22-LR_GTFS-Semaine-02,Vieux La Prairie,0,210073,3,0,0
21,LR-H22-LR_GTFS-Fête-2-03,3286845-LR-H22-LR_GTFS-Fête-2-03,Vieux La Prairie,0,210073,1,0,0
22,LR-H22-LR_GTFS-Semaine-02,3286846-LR-H22-LR_GTFS-Semaine-02,Champs-Fleuris - de la Magdeleine,1,220121,3,0,0
11,LR-A21-LR_GTFS-Fête-2-02,3286847-LR-A21-LR_GTFS-Fête-2-02,Stat incitatif Candiac,1,110121,2,0,0
11,LR-H22-LR_GTFS-Semaine-02,3286847-LR-H22-LR_GTFS-Semaine-02,Stat incitatif Candiac,1,110121,2,0,0
11,LR-H22-LR_GTFS-Fête-2-03,3286847-LR-H22-LR_GTFS-Fête-2-03,Stat incitatif Candiac,1,110121,2,0,0
T12,LR-A21-LR_GTFS-Fête-2-02,3286848-LR-A21-LR_GTFS-Fête-2-02,Stat incitatif La Prairie,0,T120009,1,0,0
T12,LR-H22-LR_GTFS-Semaine-02,3286848-LR-H22-LR_GTFS-Semaine-02,Stat incitatif La Prairie,0,T120009,T-    1,0,0
T12,LR-H22-LR_GTFS-Fête-2-03,3286848-LR-H22-LR_GTFS-Fête-2-03,Stat incitatif La Prairie,0,T120009,T-    1,0,0
