service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
21N-H50N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H50N000S-82-SV,0,0,0,0,1,0,0,20211025,20211217
21N-H54N000S-84-S,1,1,1,1,1,0,0,20211025,20211217
21N-H55N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H55N000S-82-SV,0,0,0,0,1,0,0,20211025,20211217
21N-H56N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H56N000S-82-SV,0,0,0,0,1,0,0,20211025,20211217
21N-H57N000S-83-S,1,1,1,1,1,0,0,20211025,20211217
21N-H58N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H59N000S-82-S,1,1,1,1,1,0,0,20211025,20211217
21N-H59N000S-82-SV,0,0,0,0,1,0,0,20211025,20211217
21N-H60N000S-01-S,1,1,1,1,1,0,0,20211025,20211217
21N-H62N000S-00-S,1,1,1,1,1,0,0,20211025,20211217
21N-GLOBAUX-00-S,1,1,1,1,1,0,0,20211025,20211231
21N-H50N000A-01-A,0,0,0,0,0,1,0,20211030,20211218
21N-H54N000A-00-A,0,0,0,0,0,1,0,20211030,20211218
21N-H55N000A-01-A,0,0,0,0,0,1,0,20211030,20211218
21N-H56N000A-01-A,0,0,0,0,0,1,0,20211030,20211218
21N-H57N000A-01-A,0,0,0,0,0,1,0,20211030,20211218
21N-H58N000A-00-A,0,0,0,0,0,1,0,20211030,20211218
21N-H59N000A-80-A,0,0,0,0,0,1,0,20211030,20211218
21N-H60N000A-01-A,0,0,0,0,0,1,0,20211030,20211218
21N-H62N000A-00-A,0,0,0,0,0,1,0,20211030,20211218
21N-GLOBAUX-00-A,0,0,0,0,0,1,0,20211030,20211218
21N-H50N000I-01-I,0,0,0,0,0,0,1,20211031,20211219
21N-H54N000I-00-I,0,0,0,0,0,0,1,20211031,20211219
21N-H55N000I-01-I,0,0,0,0,0,0,1,20211031,20211219
21N-H56N000I-01-I,0,0,0,0,0,0,1,20211031,20211219
21N-H57N000I-01-I,0,0,0,0,0,0,1,20211031,20211219
21N-H58N000I-00-I,0,0,0,0,0,0,1,20211031,20211219
21N-H59N000I-80-I,0,0,0,0,0,0,1,20211031,20211219
21N-H60N000I-01-I,0,0,0,0,0,0,1,20211031,20211219
21N-H62N000I-00-I,0,0,0,0,0,0,1,20211031,20211219
21N-GLOBAUX-00-I,0,0,0,0,0,0,1,20211031,20211219
21N-H50NV10S-82-S,1,1,1,1,1,0,0,20211220,20211224
21N-H50NV10S-82-SV,0,0,0,0,1,0,0,20211220,20211224
21N-H54NV10S-84-S,1,1,1,1,1,0,0,20211220,20211224
21N-H55NV10S-82-S,1,1,1,1,1,0,0,20211220,20211224
21N-H55NV10S-82-SV,0,0,0,0,1,0,0,20211220,20211224
21N-H56NV10S-82-S,1,1,1,1,1,0,0,20211220,20211224
21N-H56NV10S-82-SV,0,0,0,0,1,0,0,20211220,20211224
21N-H57NV10S-80-S,1,1,1,1,1,0,0,20211220,20211224
21N-H58NV10S-83-S,1,1,1,1,1,0,0,20211220,20211224
21N-H59NV10S-83-S,1,1,1,1,1,0,0,20211220,20211224
