shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
300083,45.384434,-73.547848,10001,0.000
300083,45.384622,-73.547753,10002,0.022
300083,45.384549,-73.547450,10003,0.047
300083,45.385113,-73.547170,10004,0.114
300083,45.385384,-73.547036,10005,0.146
300083,45.384730,-73.544460,10006,0.360
300083,45.384627,-73.544121,10007,0.389
300083,45.384511,-73.543796,10008,0.417
300083,45.384311,-73.543337,10009,0.460
300083,45.383908,-73.542610,10010,0.532
300083,45.383668,-73.542017,10011,0.586
300083,45.383609,-73.541862,10012,0.600
300083,45.383543,-73.541747,10013,0.611
300083,45.383473,-73.541678,10014,0.621
300083,45.383355,-73.541614,10015,0.635
300083,45.383198,-73.541553,10016,0.653
300083,45.382960,-73.541477,10017,0.680
300083,45.382823,-73.541476,10018,0.695
300083,45.382454,-73.541437,10019,0.736
300083,45.382187,-73.541409,10020,0.766
300083,45.381800,-73.541384,10021,0.809
300083,45.381706,-73.541371,10022,0.820
300083,45.381706,-73.541371,20001,0.820
300083,45.381621,-73.541359,20002,0.829
300083,45.381558,-73.541342,20003,0.836
300083,45.381396,-73.541332,20004,0.854
300083,45.380483,-73.541170,20005,0.957
300083,45.379982,-73.541073,20006,1.013
300083,45.379774,-73.541051,20007,1.036
300083,45.379774,-73.541051,30001,1.036
300083,45.379668,-73.541040,30002,1.048
300083,45.379409,-73.540998,30003,1.077
300083,45.378709,-73.540914,30004,1.155
300083,45.378315,-73.540850,30005,1.199
300083,45.377706,-73.540733,30006,1.267
300083,45.376983,-73.540546,30007,1.349
300083,45.376894,-73.540527,30008,1.359
300083,45.376804,-73.540521,30009,1.369
300083,45.376641,-73.540562,30010,1.387
300083,45.376598,-73.540588,30011,1.393
300083,45.376598,-73.540588,40001,1.393
300083,45.376512,-73.540643,40002,1.403
300083,45.376733,-73.541615,40003,1.483
300083,45.376986,-73.542679,40004,1.571
300083,45.377576,-73.545111,40005,1.773
300083,45.377576,-73.545111,50001,1.773
300083,45.377614,-73.545262,50002,1.785
300083,45.377811,-73.546106,50003,1.855
300083,45.378007,-73.547000,50004,1.928
300083,45.378048,-73.547143,50005,1.940
300083,45.378141,-73.547596,50006,1.977
300083,45.378190,-73.547753,50007,1.991
300083,45.378275,-73.548180,50008,2.026
300083,45.378300,-73.548258,50009,2.032
300083,45.378426,-73.548803,50010,2.077
300083,45.378519,-73.549269,50011,2.115
300083,45.378572,-73.549566,50012,2.139
300083,45.378580,-73.549618,50013,2.143
300083,45.378610,-73.549786,50014,2.157
300083,45.378640,-73.549967,50015,2.171
300083,45.378653,-73.550134,50016,2.185
300083,45.378658,-73.550179,50017,2.188
300083,45.378658,-73.550179,60001,2.188
300083,45.378673,-73.550340,60002,2.201
300083,45.378670,-73.550429,60003,2.208
300083,45.378673,-73.550621,60004,2.223
300083,45.378672,-73.550940,60005,2.248
300083,45.378657,-73.551447,60006,2.288
300083,45.378605,-73.553554,60007,2.453
300083,45.378604,-73.553861,60008,2.477
300083,45.378590,-73.554026,60009,2.490
300083,45.378589,-73.554333,60010,2.514
300083,45.378590,-73.554575,60011,2.533
300083,45.378587,-73.554652,60012,2.539
300083,45.378596,-73.554838,60013,2.554
300083,45.378596,-73.554838,70001,2.554
300083,45.378598,-73.554883,70002,2.557
300083,45.378595,-73.554959,70003,2.563
300083,45.378608,-73.555113,70004,2.575
300083,45.378629,-73.555306,70005,2.591
300083,45.378641,-73.555486,70006,2.605
300083,45.378681,-73.555923,70007,2.639
300083,45.378724,-73.556245,70008,2.665
300083,45.378733,-73.556335,70009,2.672
300083,45.378751,-73.556528,70010,2.687
300083,45.378759,-73.556567,70011,2.690
300083,45.378772,-73.556734,70012,2.704
300083,45.378775,-73.556913,70013,2.717
300083,45.378788,-73.557054,70014,2.729
300083,45.378784,-73.557194,70015,2.740
300083,45.378797,-73.557336,70016,2.751
300083,45.378792,-73.557489,70017,2.763
300083,45.378797,-73.557885,70018,2.794
300083,45.378777,-73.558510,70019,2.843
300083,45.378768,-73.559046,70020,2.885
300083,45.378764,-73.559366,70021,2.910
300083,45.378764,-73.559366,80001,2.910
300083,45.378763,-73.559480,80002,2.919
300083,45.378743,-73.560373,80003,2.989
300083,45.378730,-73.560768,80004,3.020
300083,45.378738,-73.561356,80005,3.066
300083,45.378760,-73.561672,80006,3.091
300083,45.378783,-73.561921,80007,3.111
300083,45.378802,-73.562152,80008,3.129
300083,45.378831,-73.562371,80009,3.146
300083,45.378887,-73.562592,80010,3.165
300083,45.378934,-73.562800,80011,3.182
