trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,platform_track
3291511-RS-A21-ROUS_GTF-Semaine-07,04:51:00,04:51:00,76560,1,0,1,0.000,1,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:52:01,04:52:01,76194,2,0,0,0.429,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:52:44,04:52:44,76195,3,0,0,0.728,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:53:36,04:53:36,76006,4,0,0,1.091,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:54:27,04:54:27,76008,5,0,0,1.448,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:55:32,04:55:32,76292,6,0,0,1.904,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:55:45,04:55:45,76293,7,0,0,1.998,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:56:03,04:56:03,76294,8,0,0,2.120,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:56:36,04:56:36,76295,9,0,0,2.353,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:57:10,04:57:10,76296,10,0,0,2.591,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:57:49,04:57:49,76297,11,0,0,2.868,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:58:19,04:58:19,76298,12,0,0,3.076,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:58:57,04:58:57,76299,13,0,0,3.341,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,04:59:21,04:59:21,76098,14,0,0,3.510,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:00:14,05:00:14,76027,15,0,0,3.883,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:00:58,05:00:58,76192,16,0,0,4.190,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:02:00,05:02:00,76099,17,0,0,4.622,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:02:29,05:02:29,76124,18,0,0,4.827,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:03:00,05:03:00,76125,19,0,0,5.044,1,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:03:31,05:03:31,76131,20,0,0,5.312,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:03:58,05:03:58,76126,21,0,0,5.540,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:04:25,05:04:25,76127,22,0,0,5.768,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:04:48,05:04:48,76128,23,0,0,5.967,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:05:32,05:05:32,76200,24,0,0,6.344,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:05:52,05:05:52,76204,25,0,0,6.515,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:07:00,05:07:00,76136,26,0,0,7.096,1,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:07:48,05:07:48,76145,27,0,0,7.465,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:08:17,05:08:17,76030,28,0,0,7.682,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:08:53,05:08:53,76146,29,0,0,7.962,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:09:27,05:09:27,76147,30,0,0,8.219,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:10:40,05:10:40,76423,31,0,0,8.772,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:11:08,05:11:08,76150,32,0,0,8.989,0,
3291511-RS-A21-ROUS_GTF-Semaine-07,05:12:00,05:12:00,76560,33,1,0,9.387,1,
3291511-RS-A21-ROUS_GTF-Fête-2-03,04:51:00,04:51:00,76560,1,0,1,0.000,1,
3291511-RS-A21-ROUS_GTF-Fête-2-03,04:52:01,04:52:01,76194,2,0,0,0.429,0,
3291511-RS-A21-ROUS_GTF-Fête-2-03,04:52:44,04:52:44,76195,3,0,0,0.728,0,
3291511-RS-A21-ROUS_GTF-Fête-2-03,04:53:36,04:53:36,76006,4,0,0,1.091,0,
3291511-RS-A21-ROUS_GTF-Fête-2-03,04:54:27,04:54:27,76008,5,0,0,1.448,0,
3291511-RS-A21-ROUS_GTF-Fête-2-03,04:55:32,04:55:32,76292,6,0,0,1.904,0,
3291511-RS-A21-ROUS_GTF-Fête-2-03,04:55:45,04:55:45,76293,7,0,0,1.998,0,
