stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
74529,Robert-Bourassa / William,  45.497412, -73.558424,1,74529,0
74550,Terminus Panama temporaire Quai 14,  45.465687, -73.470234,3,74550,0
75018,Taschereau / de Rome,  45.454858, -73.465159,3,75018,0
76001,Principale Sud / Monette,  45.381698, -73.541486,5,76001,0
76002,Principale Sud / Delvista,  45.379771, -73.541131,5,76002,0
76003,Principale Sud / Montée des Bouleaux,  45.376629, -73.540685,5,76003,0
76004,Montée des Bouleaux / du Collège,  45.377623, -73.545088,5,76004,0
76005,Montée des Bouleaux / Georges-Gagné Sud,  45.378734, -73.550165,5,76005,0
76006,Montée des Bouleaux / Richer,  45.378662, -73.554832,5,76006,0
76007,Terminus Panama temporaire Quai 14,  45.465785, -73.469949,3,76007,0
76008,Montée des Bouleaux / Circé,  45.378809, -73.559368,5,76008,0
76009,Saint-Pierre / Saint-Jacques,  45.378378, -73.564699,5,76009,0
76010,Saint-Pierre / Perras,  45.375596, -73.567118,5,76010,0
76011,Saint-Pierre / de la Mairie,  45.371894, -73.570429,5,76011,0
76012,Cégep Édouard-Montpetit,  45.536677, -73.496276,3,76012,0
76013,Saint-Laurent / Promenade du Collège,  45.393956, -73.550654,5,76013,0
76014,Jogues / Talon,  45.387195, -73.551393,5,76014,0
76015,Jogues / de l'Acadia,  45.390888, -73.549613,5,76015,0
76016,Jogues / Saint-Laurent,  45.393248, -73.548388,5,76016,0
76017,Montée Saint-Régis / Pierre-Dupuis,  45.367476, -73.577153,5,76017,0
76018,Terminus Panama temporaire Quai 14,  45.465744, -73.470103,3,76018,1
76019,Sainte-Catherine / Ronsard,  45.378407, -73.600469,5,76019,1
76020,de la Mairie / du Bassin,  45.373664, -73.577933,5,76020,0
76021,de la Mairie / du Petit-Saint-Régis Sud,  45.374233, -73.580370,5,76021,0
76022,de la Mairie / Monchamp,  45.374218, -73.583830,5,76022,0
