route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name,wheelchair_accessible,bikes_allowed
40,RS-A21-ROUS_GTF-Semaine-07,3291511-RS-A21-ROUS_GTF-Semaine-07,Saint-Constant AM,0,400052,1,0,0
40,RS-A21-ROUS_GTF-Fête-2-03,3291511-RS-A21-ROUS_GTF-Fête-2-03,Saint-Constant AM,0,400052,1,0,0
40,RS-H22-ROUS_GTF-Semaine-02,3291511-RS-H22-ROUS_GTF-Semaine-02,Saint-Constant AM,0,400050,1,0,0
40,RS-H22-ROUS_GTF-Fête-2-02,3291511-RS-H22-ROUS_GTF-Fête-2-02,Saint-Constant AM,0,400050,1,0,0
33,RS-A21-ROUS_GTF-Semaine-07,3291514-RS-A21-ROUS_GTF-Semaine-07,Sainte-Catherine - Saint-Constant AM,1,330108,2,0,0
33,RS-A21-ROUS_GTF-Fête-2-03,3291514-RS-A21-ROUS_GTF-Fête-2-03,Sainte-Catherine - Saint-Constant AM,1,330108,2,0,0
33,RS-H22-ROUS_GTF-Semaine-02,3291514-RS-H22-ROUS_GTF-Semaine-02,Sainte-Catherine - Saint-Constant AM,1,330112,2,0,0
33,RS-H22-ROUS_GTF-Fête-2-02,3291514-RS-H22-ROUS_GTF-Fête-2-02,Sainte-Catherine - Saint-Constant AM,1,330112,2,0,0
34,RS-A21-ROUS_GTF-Semaine-07,3291515-RS-A21-ROUS_GTF-Semaine-07,Saint-Constant,1,340010,1,0,0
34,RS-A21-ROUS_GTF-Fête-2-03,3291515-RS-A21-ROUS_GTF-Fête-2-03,Saint-Constant,1,340010,1,0,0
34,RS-H22-ROUS_GTF-Semaine-02,3291515-RS-H22-ROUS_GTF-Semaine-02,Saint-Constant,1,340009,1,0,0
34,RS-H22-ROUS_GTF-Fête-2-02,3291515-RS-H22-ROUS_GTF-Fête-2-02,Saint-Constant,1,340009,1,0,0
31,RS-A21-ROUS_GTF-Semaine-07,3291516-RS-A21-ROUS_GTF-Semaine-07,Sainte-Catherine,0,310080,1,0,0
31,RS-A21-ROUS_GTF-Fête-2-03,3291516-RS-A21-ROUS_GTF-Fête-2-03,Sainte-Catherine,0,310080,1,0,0
31,RS-H22-ROUS_GTF-Semaine-02,3291516-RS-H22-ROUS_GTF-Semaine-02,Sainte-Catherine,0,310110,1,0,0
31,RS-H22-ROUS_GTF-Fête-2-02,3291516-RS-H22-ROUS_GTF-Fête-2-02,Sainte-Catherine,0,310110,1,0,0
32,RS-A21-ROUS_GTF-Semaine-07,3291517-RS-A21-ROUS_GTF-Semaine-07,Sainte-Catherine,0,320077,1,0,0
32,RS-A21-ROUS_GTF-Fête-2-03,3291517-RS-A21-ROUS_GTF-Fête-2-03,Sainte-Catherine,0,320077,1,0,0
32,RS-H22-ROUS_GTF-Semaine-02,3291517-RS-H22-ROUS_GTF-Semaine-02,Sainte-Catherine,0,320072,1,0,0
32,RS-H22-ROUS_GTF-Fête-2-02,3291517-RS-H22-ROUS_GTF-Fête-2-02,Sainte-Catherine,0,320072,1,0,0
35,RS-A21-ROUS_GTF-Semaine-07,3291518-RS-A21-ROUS_GTF-Semaine-07,Saint-Constant AM,1,350093,2,0,0
35,RS-A21-ROUS_GTF-Fête-2-03,3291518-RS-A21-ROUS_GTF-Fête-2-03,Saint-Constant AM,1,350093,2,0,0
35,RS-H22-ROUS_GTF-Semaine-02,3291518-RS-H22-ROUS_GTF-Semaine-02,Saint-Constant AM,1,350090,2,0,0
35,RS-H22-ROUS_GTF-Fête-2-02,3291518-RS-H22-ROUS_GTF-Fête-2-02,Saint-Constant AM,1,350090,2,0,0
33,RS-A21-ROUS_GTF-Semaine-07,3291519-RS-A21-ROUS_GTF-Semaine-07,Sainte-Catherine - Saint-Constant AM,1,330107,4,0,0
33,RS-A21-ROUS_GTF-Fête-2-03,3291519-RS-A21-ROUS_GTF-Fête-2-03,Sainte-Catherine - Saint-Constant AM,1,330107,4,0,0
33,RS-H22-ROUS_GTF-Semaine-02,3291519-RS-H22-ROUS_GTF-Semaine-02,Sainte-Catherine - Saint-Constant AM,1,330111,4,0,0
33,RS-H22-ROUS_GTF-Fête-2-02,3291519-RS-H22-ROUS_GTF-Fête-2-02,Sainte-Catherine - Saint-Constant AM,1,330111,4,0,0
40,RS-A21-ROUS_GTF-Semaine-07,3291520-RS-A21-ROUS_GTF-Semaine-07,Saint-Constant AM,0,400052,3,0,0
40,RS-A21-ROUS_GTF-Fête-2-03,3291520-RS-A21-ROUS_GTF-Fête-2-03,Saint-Constant AM,0,400052,3,0,0
40,RS-H22-ROUS_GTF-Semaine-02,3291520-RS-H22-ROUS_GTF-Semaine-02,Saint-Constant AM,0,400050,3,0,0
40,RS-H22-ROUS_GTF-Fête-2-02,3291520-RS-H22-ROUS_GTF-Fête-2-02,Saint-Constant AM,0,400050,3,0,0
31,RS-A21-ROUS_GTF-Semaine-07,3291521-RS-A21-ROUS_GTF-Semaine-07,Sainte-Catherine,0,310080,2,0,0
31,RS-H22-ROUS_GTF-Semaine-02,3291521-RS-H22-ROUS_GTF-Semaine-02,Sainte-Catherine,0,310110,2,0,0
38,RS-A21-ROUS_GTF-Semaine-07,3291522-RS-A21-ROUS_GTF-Semaine-07,Gare Sainte-Catherine AM,0,380025,70,0,0
38,RS-A21-ROUS_GTF-Fête-2-03,3291522-RS-A21-ROUS_GTF-Fête-2-03,Gare Sainte-Catherine AM,0,380025,70,0,0
38,RS-H22-ROUS_GTF-Semaine-02,3291522-RS-H22-ROUS_GTF-Semaine-02,Gare Sainte-Catherine AM,0,380034,70,0,0
38,RS-H22-ROUS_GTF-Fête-2-02,3291522-RS-H22-ROUS_GTF-Fête-2-02,Gare Sainte-Catherine AM,0,380034,70,0,0
T36,RS-A21-ROUS_GTF-Semaine-07,3291523-RS-A21-ROUS_GTF-Semaine-07,Delson AM,0,T360018,1,0,0
T36,RS-A21-ROUS_GTF-Fête-2-03,3291523-RS-A21-ROUS_GTF-Fête-2-03,Delson AM,0,T360018,1,0,0
