shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10321,45.582389,-73.323129,10001,0.000
10321,45.582468,-73.322407,10002,0.057
10321,45.582779,-73.322487,10003,0.092
10321,45.582595,-73.324163,10004,0.225
10321,45.582800,-73.324206,10005,0.248
10321,45.582900,-73.324207,10006,0.259
10321,45.582712,-73.325653,10007,0.373
10321,45.582697,-73.325840,10008,0.388
10321,45.582697,-73.326081,10009,0.407
10321,45.582716,-73.326756,10010,0.460
10321,45.582645,-73.326768,10011,0.468
10321,45.580532,-73.327155,10012,0.705
10321,45.579934,-73.327260,10013,0.771
10321,45.578968,-73.327429,10014,0.880
10321,45.578831,-73.327487,10015,0.896
10321,45.578387,-73.327543,10016,0.945
10321,45.578072,-73.327614,10017,0.981
10321,45.577918,-73.327658,10018,0.998
10321,45.577841,-73.327674,10019,1.007
10321,45.577425,-73.327732,10020,1.053
10321,45.576673,-73.327860,10021,1.137
10321,45.576569,-73.327866,10022,1.149
10321,45.575933,-73.327909,10023,1.220
10321,45.575933,-73.327909,20001,1.220
10321,45.575911,-73.327910,20002,1.222
10321,45.575856,-73.327913,20003,1.228
10321,45.575813,-73.327917,20004,1.233
10321,45.575610,-73.327873,20005,1.256
10321,45.575370,-73.327871,20006,1.282
10321,45.574472,-73.327964,20007,1.383
10321,45.574472,-73.327964,30001,1.383
10321,45.574440,-73.327967,30002,1.386
10321,45.574214,-73.327992,30003,1.411
10321,45.574042,-73.328020,30004,1.431
10321,45.573862,-73.328034,30005,1.451
10321,45.573727,-73.328026,30006,1.466
10321,45.573583,-73.328030,30007,1.482
10321,45.573304,-73.328026,30008,1.513
10321,45.573025,-73.328034,30009,1.544
10321,45.572862,-73.328037,30010,1.562
10321,45.572610,-73.328047,30011,1.590
10321,45.572329,-73.327209,30012,1.662
10321,45.572134,-73.326629,30013,1.712
10321,45.572134,-73.326629,40001,1.712
10321,45.571809,-73.325665,40002,1.796
10321,45.571693,-73.325350,40003,1.824
10321,45.571149,-73.323676,40004,1.968
10321,45.571140,-73.323653,40005,1.970
10321,45.571140,-73.323653,50001,1.970
10321,45.571115,-73.323597,50002,1.975
10321,45.570563,-73.321909,50003,2.120
10321,45.570066,-73.320461,50004,2.246
10321,45.570066,-73.320461,60001,2.246
10321,45.570042,-73.320390,60002,2.252
10321,45.569436,-73.320776,60003,2.326
10321,45.569308,-73.320832,60004,2.341
10321,45.569204,-73.321005,60005,2.359
10321,45.568776,-73.321655,60006,2.429
10321,45.568776,-73.321655,70001,2.429
10321,45.568732,-73.321720,70002,2.436
10321,45.568269,-73.322448,70003,2.512
10321,45.567835,-73.321921,70004,2.576
10321,45.567757,-73.321814,70005,2.588
10321,45.567757,-73.321814,80001,2.588
10321,45.567740,-73.321774,80002,2.591
10321,45.567678,-73.321745,80003,2.599
10321,45.567643,-73.321730,80004,2.603
10321,45.567589,-73.321726,80005,2.609
10321,45.567318,-73.321761,80006,2.639
10321,45.566848,-73.321796,80007,2.691
10321,45.566740,-73.321815,80008,2.703
10321,45.566712,-73.321827,80009,2.707
10321,45.566629,-73.321898,80010,2.717
10321,45.566592,-73.321947,80011,2.723
10321,45.566536,-73.322008,80012,2.731
10321,45.565799,-73.323168,80013,2.853
10321,45.565646,-73.322981,80014,2.875
10321,45.565646,-73.322981,90001,2.875
10321,45.565234,-73.322479,90002,2.936
10321,45.564861,-73.322008,90003,2.991
10321,45.564757,-73.321899,90004,3.005
10321,45.564658,-73.321745,90005,3.022
10321,45.564658,-73.321745,100001,3.022
10321,45.564619,-73.321685,100002,3.028
10321,45.565026,-73.321018,100003,3.097
10321,45.565102,-73.320907,100004,3.109
10321,45.565453,-73.320314,100005,3.170
10321,45.565965,-73.319526,100006,3.253
10321,45.565965,-73.319526,110001,3.253
10321,45.565982,-73.319500,110002,3.256
10321,45.565984,-73.319436,110003,3.261
