trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,platform_track
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:24:00,05:24:00,71325,1,0,1,0.000,1,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:26:43,05:26:43,71256,2,0,0,1.220,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:27:05,05:27:05,71260,3,0,0,1.383,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:27:49,05:27:49,71225,4,0,0,1.712,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:28:23,05:28:23,71224,5,0,0,1.970,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:29:00,05:29:00,71226,6,0,0,2.246,1,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:29:21,05:29:21,71228,7,0,0,2.429,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:29:39,05:29:39,71233,8,0,0,2.588,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:30:12,05:30:12,71234,9,0,0,2.875,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:30:29,05:30:29,71235,10,0,0,3.022,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:30:56,05:30:56,71236,11,0,0,3.253,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:31:35,05:31:35,71237,12,0,0,3.595,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:32:12,05:32:12,71238,13,0,0,3.922,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:33:00,05:33:00,71239,14,0,0,4.338,1,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:33:27,05:33:27,71240,15,0,0,4.478,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:34:10,05:34:10,71241,16,0,0,4.706,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:35:11,05:35:11,71242,17,0,0,5.027,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:36:15,05:36:15,71246,18,0,0,5.367,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:36:39,05:36:39,71247,19,0,0,5.490,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:37:14,05:37:14,71248,20,0,0,5.679,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:38:34,05:38:34,71250,21,0,0,6.100,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:39:15,05:39:15,71251,22,0,0,6.314,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:40:05,05:40:05,71252,23,0,0,6.580,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:40:52,05:40:52,71253,24,0,0,6.825,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:41:36,05:41:36,71254,25,0,0,7.060,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:42:00,05:42:00,71255,26,0,0,7.187,1,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:42:52,05:42:52,71001,27,0,0,7.515,0,
3340535-SJU-H22-SJU_GTFS-Semaine-02,05:45:00,05:45:00,71335,28,1,0,8.329,1,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:11:00,05:11:00,71325,1,0,1,0.000,1,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:13:43,05:13:43,71256,2,0,0,1.220,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:14:05,05:14:05,71260,3,0,0,1.383,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:14:49,05:14:49,71225,4,0,0,1.712,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:15:23,05:15:23,71224,5,0,0,1.970,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:16:00,05:16:00,71226,6,0,0,2.246,1,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:16:21,05:16:21,71228,7,0,0,2.429,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:16:39,05:16:39,71233,8,0,0,2.588,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:17:12,05:17:12,71234,9,0,0,2.875,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:17:29,05:17:29,71235,10,0,0,3.022,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:17:56,05:17:56,71236,11,0,0,3.253,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:18:35,05:18:35,71237,12,0,0,3.595,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:19:12,05:19:12,71238,13,0,0,3.922,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:20:00,05:20:00,71239,14,0,0,4.338,1,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:20:27,05:20:27,71240,15,0,0,4.478,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:21:10,05:21:10,71241,16,0,0,4.706,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:22:11,05:22:11,71242,17,0,0,5.027,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:23:15,05:23:15,71246,18,0,0,5.367,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:23:39,05:23:39,71247,19,0,0,5.490,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:24:14,05:24:14,71248,20,0,0,5.679,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:25:34,05:25:34,71250,21,0,0,6.100,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:26:15,05:26:15,71251,22,0,0,6.314,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:27:05,05:27:05,71252,23,0,0,6.580,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:27:52,05:27:52,71253,24,0,0,6.825,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:28:36,05:28:36,71254,25,0,0,7.060,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:29:00,05:29:00,71255,26,0,0,7.187,1,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:29:52,05:29:52,71001,27,0,0,7.515,0,
3340535-SJU-H22-SJU_GTFS-Fête-2-01,05:32:00,05:32:00,71335,28,1,0,8.329,1,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:53:00,07:53:00,71325,1,0,1,0.000,1,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:55:43,07:55:43,71256,2,0,0,1.220,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:56:05,07:56:05,71260,3,0,0,1.383,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:56:49,07:56:49,71225,4,0,0,1.712,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:57:23,07:57:23,71224,5,0,0,1.970,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:58:00,07:58:00,71226,6,0,0,2.246,1,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:58:26,07:58:26,71228,7,0,0,2.429,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:58:49,07:58:49,71233,8,0,0,2.588,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:59:30,07:59:30,71234,9,0,0,2.875,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,07:59:51,07:59:51,71235,10,0,0,3.022,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,08:00:25,08:00:25,71236,11,0,0,3.253,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,08:01:14,08:01:14,71237,12,0,0,3.595,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,08:02:00,08:02:00,71238,13,0,0,3.922,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,08:03:00,08:03:00,71239,14,0,0,4.338,1,
3340536-SJU-H22-SJU_GTFS-Semaine-02,08:03:27,08:03:27,71240,15,0,0,4.478,0,
3340536-SJU-H22-SJU_GTFS-Semaine-02,08:04:10,08:04:10,71241,16,0,0,4.706,0,
