stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
71001,du Fer-à-Cheval / Nobel,  45.578362, -73.327348,5,71001,1
71002,de Chambly / Saint-Charles,  45.540878, -73.508303,3,71002,0
71003,Centre de formation professionnelle des Patriotes,  45.576063, -73.306675,5,71003,0
71004,Darwin / Bombardier,  45.577890, -73.308185,5,71004,0
71005,Bombardier / Marconi,  45.579405, -73.311552,5,71005,0
71006,Bombardier / Nobel,  45.581465, -73.312200,5,71006,0
71007,Lavoisier (entrée est) / Nobel,  45.581009, -73.319080,5,71007,0
71008,Lavoisier (entrée ouest) / Nobel,  45.580259, -73.323696,5,71008,0
71009,Léonard-De Vinci / du Fer-à-Cheval,  45.576625, -73.328257,5,71009,0
71010,Léonard-De Vinci / Raymond-Blais,  45.576312, -73.332432,5,71010,0
71011,Léonard-De Vinci / Blaise-Pascal,  45.577025, -73.337805,5,71011,0
71012,Blaise-Pascal / Nobel,  45.577817, -73.338212,5,71012,0
71013,Nobel / devant le #2181,  45.577334, -73.342692,5,71013,0
71014,de Chambly / Saint-Charles,  45.540851, -73.507929,3,71014,0
71015,Du Tremblay / devant le CFP Pierre-Dupuy,  45.536563, -73.464137,3,71015,0
71016,Blaise-Pascal / Léonard-De Vinci,  45.577012, -73.337947,5,71016,0
71017,Léonard-De Vinci / Raymond-Blais,  45.576200, -73.332579,5,71017,0
71018,Léonard-De Vinci / du Fer-à-Cheval,  45.576463, -73.328905,5,71018,0
71019,Nobel / Lavoisier (entrée ouest),  45.580237, -73.323870,5,71019,0
71020,Lavoisier (entrée est) / Nobel,  45.581051, -73.318929,5,71020,0
71021,Nobel / Bombardier,  45.581671, -73.312429,5,71021,0
71022,Bombardier / Marconi,  45.579287, -73.311597,5,71022,0
71023,Bombardier / Darwin,  45.577786, -73.308190,5,71023,0
71024,Centre de formation professionnelle des Patriotes,  45.576090, -73.306673,5,71024,0
71026,Principale / Coulombe,  45.603869, -73.320713,5,71026,0
71027,Bertrand / Principale,  45.609313, -73.311453,5,71027,0
71028,Montée des Quarante-Deux / devant le #561,  45.605322, -73.312932,5,71028,0
71029,Rang de la Vallée / devant le #1275,  45.590749, -73.311329,5,71029,0
71030,Montée des Quarante-Deux / devant le #55,  45.592036, -73.293436,5,71030,0
71031,Terminus Longueuil porte 20,  45.523795, -73.522215,3,71031,0
71032,Montée des Quarante-Deux / du Crépuscule,  45.589037, -73.288934,5,71032,0
71033,Principale / Coulombe,  45.604045, -73.320625,5,71033,0
71034,du Fer-à-Cheval / devant le #765,  45.608040, -73.326812,5,71034,0
71035,du Fer-à-Cheval / de Touraine,  45.625528, -73.330005,5,71035,0
71036,Charlebois / devant le #568,  45.631690, -73.335148,5,71036,0
71037,de Touraine / face au #1380,  45.620759, -73.361691,5,71037,0
71038,de Touraine / Rang de la Belle-Rivière,  45.618873, -73.364041,5,71038,0
71039,de la Belle-Rivière / Montée Sainte-Julie,  45.614380, -73.366150,5,71039,0
71040,Montée Sainte-Julie / Calixa-Lavallée,  45.603700, -73.353180,5,71040,0
71042,de la Belle-Rivière / Montée Sainte-Julie,  45.614379, -73.365929,5,71042,0
71043,de Touraine / devant le #1380,  45.620597, -73.361588,5,71043,0
71044,Rang de la Belle-Rivière / de Touraine,  45.620247, -73.356463,5,71044,0
71045,Charlebois / devant le #568,  45.631431, -73.334765,5,71045,0
71046,de Touraine / du Fer-à-Cheval,  45.625519, -73.330263,5,71046,0
71047,du Fer-à-Cheval / devant le #784,  45.608072, -73.327033,5,71047,0
71050,Cégep Édouard-Montpetit,  45.536767, -73.495925,3,71050,0
71051,Cégep Édouard-Montpetit,  45.536819, -73.495453,3,71051,0
71083,Terminus Mansfield Quai 3,  45.498538, -73.564480,1,71083,0
71084,Principale / de l'Abbé-Théoret,  45.597061, -73.335118,5,71084,0
71085,de l'Abbé-Théoret / Principale,  45.597033, -73.335294,5,71085,0
71089,Décarie / des Paysans,  45.596831, -73.350985,5,71089,0
71091,Décarie / Provost,  45.594477, -73.347933,5,71091,0
71092,Savaria / Décarie,  45.593325, -73.347094,5,71092,0
71095,N.-P.-Lapierre / Yoland-Guérard,  45.584242, -73.344333,5,71095,0
71098,de Grenoble / du Poitou,  45.583184, -73.337445,5,71098,0
71100,de Grenoble / Marie-Curie,  45.581445, -73.335122,5,71100,0
71127,du Fer-à-Cheval / des Iris,  45.594694, -73.327963,5,71127,0
71149,Montée Sainte-Julie / de la Verdure,  45.601662, -73.350142,5,71149,0
71150,Montée Sainte-Julie / de la Verdure,  45.601671, -73.350374,5,71150,0
71151,Montée Sainte-Julie / N.-P.-Lapierre,  45.602695, -73.351467,5,71151,0
71153,N.-P.-Lapierre / Montée Sainte-Julie,  45.602434, -73.351865,5,71153,0
71155,N.-P.-Lapierre / Comtois,  45.600586, -73.354723,5,71155,0
71160,N.-P.-Lapierre / Huet,  45.595292, -73.354786,5,71160,0
71161,N.-P.-Lapierre / Savaria,  45.591486, -73.349955,5,71161,0
71163,Jules-Choquet / Saint-Louis,  45.594193, -73.336257,5,71163,0
71164,Jules-Choquet / Saint-Louis,  45.594198, -73.336476,5,71164,0
71166,Savaria / N.-P.-Lapierre,  45.591342, -73.350164,5,71166,0
71167,N.-P.-Lapierre / Principale,  45.589124, -73.346806,5,71167,0
71168,Principale / N.-P.-Lapierre,  45.588463, -73.346334,5,71168,0
71169,N.-P.-Lapierre / Principale,  45.588942, -73.346967,5,71169,0
71171,Principale / Borduas,  45.584698, -73.351688,5,71171,0
71173,Principale / de Vienne,  45.582221, -73.354920,5,71173,0
71176,N.-P.-Lapierre / Borduas,  45.581533, -73.344778,5,71176,0
71179,Armand-Frappier / devant le #201,  45.582003, -73.328836,5,71179,0
71180,Armand-Frappier / de Grenoble,  45.579879, -73.334039,5,71180,0
71182,Armand-Frappier / devant le #1433,  45.579081, -73.338875,5,71182,0
71183,Savaria / Paul-Sauvé,  45.587612, -73.352326,5,71183,0
71184,Savaria / Jean-Lesage,  45.589289, -73.353325,5,71184,0
71185,Borduas / des Fauvettes,  45.585579, -73.337812,5,71185,0
