shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
3700012,45.582309,-73.323874,10001,0.000
3700012,45.582468,-73.322407,10002,0.116
3700012,45.582779,-73.322487,10003,0.151
3700012,45.582595,-73.324163,10004,0.283
3700012,45.582800,-73.324206,10005,0.306
3700012,45.582900,-73.324207,10006,0.318
3700012,45.582712,-73.325653,10007,0.432
3700012,45.582697,-73.325840,10008,0.447
3700012,45.582697,-73.326081,10009,0.466
3700012,45.582716,-73.326756,10010,0.519
3700012,45.583447,-73.326646,10011,0.600
3700012,45.584060,-73.326664,10012,0.668
3700012,45.584971,-73.326703,10013,0.770
3700012,45.584971,-73.326703,20001,0.770
3700012,45.585061,-73.326708,20002,0.780
3700012,45.585185,-73.326701,20003,0.794
3700012,45.585274,-73.326698,20004,0.803
3700012,45.585570,-73.326716,20005,0.836
3700012,45.585876,-73.326722,20006,0.870
3700012,45.586002,-73.326730,20007,0.884
3700012,45.586190,-73.326754,20008,0.905
3700012,45.586658,-73.326820,20009,0.958
3700012,45.586707,-73.326792,20010,0.964
3700012,45.586707,-73.326792,30001,0.964
3700012,45.586730,-73.326778,30002,0.966
3700012,45.586849,-73.326763,30003,0.980
3700012,45.586920,-73.326722,30004,0.988
3700012,45.586937,-73.326633,30005,0.995
3700012,45.586984,-73.326575,30006,1.002
3700012,45.587028,-73.326538,30007,1.008
3700012,45.587071,-73.326517,30008,1.013
3700012,45.587131,-73.326540,30009,1.020
3700012,45.587193,-73.326599,30010,1.028
3700012,45.587221,-73.326655,30011,1.034
3700012,45.587290,-73.326693,30012,1.042
3700012,45.587382,-73.326762,30013,1.053
3700012,45.587506,-73.326863,30014,1.069
3700012,45.587698,-73.326898,30015,1.091
3700012,45.588094,-73.326922,30016,1.135
3700012,45.588381,-73.326966,30017,1.167
3700012,45.588633,-73.326968,30018,1.195
3700012,45.588821,-73.326993,30019,1.216
3700012,45.589010,-73.327004,30020,1.237
3700012,45.589459,-73.327045,30021,1.287
3700012,45.590105,-73.327123,30022,1.359
3700012,45.590715,-73.327186,30023,1.427
3700012,45.591127,-73.327237,30024,1.473
3700012,45.591648,-73.327295,30025,1.531
3700012,45.592203,-73.327406,30026,1.593
3700012,45.593000,-73.327545,30027,1.683
3700012,45.593251,-73.327599,30028,1.711
3700012,45.593251,-73.327599,40001,1.711
3700012,45.593340,-73.327617,40002,1.721
3700012,45.593805,-73.327723,40003,1.773
3700012,45.593947,-73.327744,40004,1.789
3700012,45.594387,-73.327810,40005,1.838
3700012,45.594620,-73.327863,40006,1.865
3700012,45.595067,-73.327954,40007,1.915
3700012,45.596034,-73.328142,40008,2.023
3700012,45.596625,-73.328245,40009,2.089
3700012,45.596625,-73.328245,50001,2.089
3700012,45.596715,-73.328261,50002,2.099
3700012,45.597109,-73.328324,50003,2.143
3700012,45.597494,-73.328373,50004,2.187
3700012,45.597872,-73.328396,50005,2.228
3700012,45.598402,-73.328416,50006,2.288
3700012,45.599024,-73.328416,50007,2.357
3700012,45.599123,-73.328422,50008,2.368
3700012,45.600131,-73.328420,50009,2.480
3700012,45.600943,-73.328449,50010,2.570
3700012,45.602449,-73.324643,50011,2.911
3700012,45.603352,-73.322301,50012,3.119
3700012,45.603937,-73.320764,50013,3.256
3700012,45.603937,-73.320764,60001,3.256
3700012,45.603974,-73.320668,60002,3.264
3700012,45.604253,-73.319976,60003,3.327
3700012,45.604455,-73.319526,60004,3.369
3700012,45.604779,-73.318852,60005,3.432
3700012,45.605752,-73.316898,60006,3.619
3700012,45.605848,-73.316691,60007,3.639
3700012,45.605930,-73.316481,60008,3.657
3700012,45.605996,-73.316265,60009,3.676
3700012,45.606050,-73.316044,60010,3.694
3700012,45.606095,-73.315815,60011,3.713
3700012,45.606211,-73.315851,60012,3.726
3700012,45.606291,-73.315856,60013,3.735
3700012,45.606355,-73.315847,60014,3.742
3700012,45.606400,-73.315837,60015,3.747
3700012,45.606455,-73.315815,60016,3.753
3700012,45.606557,-73.315706,60017,3.768
3700012,45.606604,-73.315644,60018,3.775
3700012,45.607008,-73.315079,60019,3.838
3700012,45.607244,-73.314734,60020,3.875
3700012,45.607656,-73.314183,60021,3.938
3700012,45.608305,-73.313273,60022,4.039
3700012,45.608466,-73.313026,60023,4.065
3700012,45.609002,-73.312277,60024,4.149
3700012,45.609413,-73.311694,60025,4.213
3700012,45.609772,-73.311195,60026,4.269
