stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
70000,Terminus Longueuil porte 4,  45.524347, -73.522601,3,70000,0
70001,Terminus Longueuil porte 5,  45.524297, -73.522606,3,70001,1
70002,IREQ (Pavillon Lionel-Boulet),  45.620943, -73.379047,5,70002,1
70003,IREQ (Labo d'expérimentation),  45.623608, -73.391767,5,70003,1
70004,Cégep Édouard-Montpetit,  45.536684, -73.495552,3,70004,0
70005,de Gentilly / Thurber,  45.536469, -73.496211,3,70005,0
70006,IREQ (Pavillon Archimède),  45.620291, -73.392454,5,70006,1
70007,Route 132 / De Montbrun,  45.612533, -73.440063,3,70007,0
70008,Route 132 / De Montbrun,  45.612389, -73.439603,3,70008,0
70010,rue du Roi / rue Adélaïde,  46.039044, -73.113881,8,70010,1
70011,rue du Roi / rue Adélaïde,  46.039209, -73.114208,8,70011,1
70012,chemin des Patriotes / rue du Collège,  46.036472, -73.113659,8,70012,1
70013,chemin des Patriotes / rue du Collège,  46.036279, -73.113476,8,70013,1
70014,boul. Gagné / rue Saint-Nicolas,  46.029337, -73.116333,8,70014,1
70015,boul. Gagné / rue Saint-Nicolas,  46.029269, -73.115885,8,70015,1
70020,Terminus temp. Radisson (rue du Trianon),  45.590456, -73.540802,,70020,1
70021,IREQ (Barrière de sécurité),  45.617998, -73.379325,5,70021,0
70022,Lionel-Boulet / devant l'INRS,  45.625440, -73.382465,5,70022,0
70023,Lionel-Boulet / devant le #1615 (CanmetÉNERGIE),  45.625591, -73.382236,5,70023,0
70024,Lionel-Boulet / Jean-Coutu,  45.628150, -73.386138,5,70024,0
70025,Lionel-Boulet / Jean-Coutu,  45.628088, -73.385295,5,70025,0
70026,Lionel-Boulet / face au #1471,  45.630292, -73.389251,5,70026,0
70027,Lionel-Boulet / devant le #1471,  45.630750, -73.388735,5,70027,0
70028,Lionel-Boulet / de l'Énergie,  45.632437, -73.391636,5,70028,0
70029,Lionel-Boulet / de l'Énergie,  45.632218, -73.390938,5,70029,0
70030,Jean-Coutu / face au Groupe Jean-Coutu,  45.632387, -73.378943,5,70030,0
70031,Jean-Coutu / devant le Groupe Jean-Coutu,  45.632278, -73.378736,5,70031,0
70032,de la Marine / devant le #253,  45.658467, -73.424474,5,70032,0
70033,de la Marine / devant le #248,  45.658194, -73.424877,5,70033,0
70034,de la Marine / devant le #153,  45.662475, -73.429606,5,70034,0
70035,de la Marine / devant le #148,  45.662222, -73.430075,5,70035,0
70036,Lionel-Boulet / devant le #920,  45.646548, -73.409711,5,70036,0
70037,Lionel-Boulet / devant le #925,  45.646789, -73.409328,5,70037,0
70038,Lionel-Boulet / du Pays-Brûlé,  45.654615, -73.419987,5,70038,0
70039,Lionel-Boulet / du Pays-Brûlé,  45.654738, -73.419842,5,70039,0
70040,Route 132 / Lionel-Boulet,  45.656914, -73.420358,5,70040,0
70041,Route 132 / de la Marine,  45.657305, -73.420919,5,70041,0
70042,de la Marine / du Trécarré,  45.657259, -73.422996,5,70042,0
70043,de la Marine / de la Tasserie,  45.656846, -73.423253,5,70043,0
70044,de la Marine / des Aulnes,  45.659471, -73.425821,5,70044,0
70045,de la Marine / du Froment,  45.659499, -73.426426,5,70045,0
70046,de la Marine / du Fief,  45.660890, -73.427696,5,70046,0
70047,de la Marine / des Intendants,  45.660883, -73.428341,5,70047,0
70048,de la Marine / de la Gabelle,  45.663818, -73.431298,5,70048,0
70049,de la Gabelle / de la Marine,  45.664062, -73.431484,5,70049,0
70052,de la Gabelle / de la Futaie,  45.666762, -73.430907,5,70052,0
70053,de la Gabelle / de la Futaie,  45.666959, -73.431073,5,70053,0
70054,Route 132 / du Petit-Bois,  45.668409, -73.430586,5,70054,0
70055,Route 132 / de la Gabelle,  45.668093, -73.430845,5,70055,0
70056,du Petit-Bois / de la Rivière,  45.668793, -73.429290,5,70056,0
70057,du Petit-Bois / de la Riviére,  45.669013, -73.429266,5,70057,0
70059,Stationnement Incitatif Jules-Phaneuf,  45.672901, -73.426388,5,70059,0
70060,du Saint-Laurent / Marie-Victorin,  45.670618, -73.434930,5,70060,0
70061,du Saint-Laurent / Marie-Victorin,  45.670511, -73.434831,5,70061,0
70062,Stationnement incitatif Jules-Phaneuf,  45.672854, -73.426118,5,70062,0
70063,René-Gaultier / Jules-Phaneuf,  45.673573, -73.426457,5,70063,0
70066,René-Gaultier / Doucet,  45.673769, -73.430163,5,70066,0
70067,René-Gaultier / Doucet,  45.673501, -73.430366,5,70067,0
70068,René-Gaultier / de l'Aqueduc,  45.674460, -73.431736,5,70068,0
70069,René-Gaultier / de l'Aqueduc,  45.674273, -73.432071,5,70069,0
70070,Route 132 / de l'Aqueduc,  45.673363, -73.437317,5,70070,0
