service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SO-A21-SO_GTFS-Semaine-09,1,1,1,1,1,0,0,20211213,20220109
SO-A21-SO_GTFS-Semaine-09-0001100,0,0,0,1,1,0,0,20211213,20220109
SO-A21-SO_GTFS-Samedi-07,0,0,0,0,0,1,0,20211213,20220109
SO-A21-SO_GTFS-Dimanche-07,0,0,0,0,0,0,1,20211213,20220109
SO-A21-SO_GTFS-Fête-2-06,0,0,0,0,0,0,0,20211213,20220109
SO-H22-SO_GTFS-Semaine-01,1,1,1,1,1,0,0,20220110,20220529
SO-H22-SO_GTFS-Semaine-01-0001100,0,0,0,1,1,0,0,20220110,20220529
SO-H22-SO_GTFS-Samedi-01,0,0,0,0,0,1,0,20220110,20220529
SO-H22-SO_GTFS-Dimanche-01,0,0,0,0,0,0,1,20220110,20220529
SO-H22-SO_GTFS-Fête-1-01,0,0,0,0,0,0,0,20220110,20220529
SO-H22-SO_GTFS-Fête-2-01,0,0,0,0,0,0,0,20220110,20220529
