shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10324,45.258225,-74.126490,10001,0.000
10324,45.258074,-74.126368,10002,0.019
10324,45.257588,-74.126055,10003,0.079
10324,45.257493,-74.126889,10004,0.145
10324,45.257456,-74.127142,10005,0.165
10324,45.257430,-74.127369,10006,0.183
10324,45.257349,-74.128077,10007,0.240
10324,45.257671,-74.128127,10008,0.276
10324,45.257917,-74.128286,10009,0.306
10324,45.258153,-74.128482,10010,0.336
10324,45.258380,-74.128678,10011,0.366
10324,45.258640,-74.128953,10012,0.402
10324,45.259232,-74.129712,10013,0.491
10324,45.260136,-74.130814,10014,0.623
10324,45.260347,-74.130944,10015,0.649
10324,45.260365,-74.130958,10016,0.651
10324,45.260545,-74.130972,10017,0.671
10324,45.261072,-74.131089,10018,0.731
10324,45.261151,-74.131133,10019,0.740
10324,45.261212,-74.131176,10020,0.748
10324,45.260645,-74.132115,10021,0.845
10324,45.260620,-74.132074,10022,0.849
10324,45.260551,-74.131993,10023,0.859
10324,45.260330,-74.131632,10024,0.896
10324,45.260272,-74.131512,10025,0.908
10324,45.259684,-74.130626,10026,1.003
10324,45.259489,-74.130305,10027,1.036
10324,45.259377,-74.130169,10028,1.053
10324,45.259230,-74.130018,10029,1.073
10324,45.259020,-74.129849,10030,1.100
10324,45.258860,-74.129786,10031,1.118
10324,45.258618,-74.129767,10032,1.145
10324,45.258517,-74.129763,10033,1.156
10324,45.257447,-74.129829,10034,1.276
10324,45.257147,-74.129847,10035,1.309
10324,45.256548,-74.129882,10036,1.376
10324,45.256479,-74.129885,10037,1.383
10324,45.256431,-74.129879,10038,1.389
10324,45.255717,-74.129789,10039,1.468
10324,45.255116,-74.129718,10040,1.535
10324,45.254901,-74.129702,10041,1.559
10324,45.254416,-74.130838,10042,1.663
10324,45.254356,-74.130999,10043,1.678
10324,45.254278,-74.131172,10044,1.694
10324,45.254178,-74.131413,10045,1.716
10324,45.254098,-74.131601,10046,1.733
10324,45.254020,-74.131790,10047,1.750
10324,45.253783,-74.132346,10048,1.801
10324,45.253342,-74.131995,10049,1.857
10324,45.253342,-74.131995,20001,1.857
10324,45.253040,-74.131754,20002,1.896
10324,45.252865,-74.131613,20003,1.919
10324,45.252533,-74.131358,20004,1.960
10324,45.252411,-74.131247,20005,1.977
10324,45.251987,-74.130915,20006,2.030
10324,45.251987,-74.130915,30001,2.030
10324,45.251816,-74.130781,30002,2.052
10324,45.251845,-74.130719,30003,2.058
10324,45.252409,-74.129385,30004,2.180
10324,45.252972,-74.128019,30005,2.304
10324,45.253469,-74.126839,30006,2.412
10324,45.253697,-74.126290,30007,2.462
10324,45.253697,-74.126290,40001,2.462
10324,45.253737,-74.126196,40002,2.471
10324,45.254034,-74.125492,40003,2.535
10324,45.254093,-74.125356,40004,2.548
10324,45.254508,-74.124380,40005,2.637
10324,45.254914,-74.123417,40006,2.725
10324,45.255389,-74.122280,40007,2.829
10324,45.255804,-74.121291,40008,2.920
10324,45.256231,-74.120265,40009,3.013
10324,45.256478,-74.119684,40010,3.066
10324,45.256726,-74.119066,40011,3.122
10324,45.256973,-74.118498,40012,3.175
10324,45.257488,-74.117261,40013,3.287
10324,45.257854,-74.117570,40014,3.335
10324,45.257944,-74.116620,40015,3.410
10324,45.257981,-74.116113,40016,3.450
10324,45.257975,-74.115577,40017,3.492
10324,45.257962,-74.115193,40018,3.522
10324,45.257926,-74.114477,40019,3.578
10324,45.257880,-74.113785,40020,3.633
10324,45.257920,-74.113402,40021,3.663
10324,45.257976,-74.113132,40022,3.685
10324,45.258051,-74.112656,40023,3.724
10324,45.258060,-74.112574,40024,3.730
10324,45.258055,-74.112470,40025,3.738
10324,45.258037,-74.112343,40026,3.749
10324,45.258045,-74.112274,40027,3.754
10324,45.258068,-74.112214,40028,3.759
10324,45.258104,-74.112167,40029,3.765
10324,45.258127,-74.112147,40030,3.768
10324,45.258194,-74.112078,40031,3.777
10324,45.258383,-74.111720,40032,3.812
10324,45.258503,-74.111299,40033,3.848
10324,45.258707,-74.110820,40034,3.892
10324,45.260141,-74.107405,40035,4.204
10324,45.260280,-74.107091,40036,4.233
10324,45.260710,-74.106079,40037,4.325
10324,45.261186,-74.104929,40038,4.430
10324,45.261378,-74.104357,40039,4.480
10324,45.261619,-74.103483,40040,4.553
