stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
16002,Terminus Mansfield Quai 5,  45.498100, -73.564442,1,16002,1
76557,boul. Newman / av. Labatt,  45.427280, -73.644449,1,76557,0
76686,Kennedy / Pierre-Boursier,  45.348145, -73.701594,5,76686,1
76687,Kennedy / De Gaulle,  45.349430, -73.707781,5,76687,1
76688,Desmarais / De Gaulle,  45.346875, -73.709048,5,76688,1
77501,av. Labatt / boul. Newman,  45.427072, -73.644425,1,77501,0
77503,boul. Newman / av. Dollard,  45.430096, -73.635640,1,77503,0
77504,boul. Newman / boul. Shevchenko,  45.432271, -73.629895,1,77504,0
77505,boul. Newman / rue Thierry,  45.436357, -73.625354,1,77505,0
77506,boul. Newman / rue Lapierre,  45.439318, -73.622184,1,77506,0
77507,boul. Newman / rue Senkus,  45.444051, -73.614193,1,77507,0
77508,boul. Newman / boul. des Trinitaires,  45.447219, -73.610059,1,77508,0
77509,boul. Newman / rue Léger,  45.441290, -73.618868,1,77509,0
77655,av. Labatt / rue Airlie,  45.424182, -73.645618,1,77655,0
77657,boul. Newman / 90e avenue,  45.428988, -73.638993,1,77657,0
78001,13e Avenue / Lucien-Charette,  45.312659, -73.957155,6,78001,1
78002,Ellice / Sainte-Catherine,  45.314826, -73.872818,6,78002,0
78003,de la Haute-Rivière / devant la Caisse Desjardins,  45.345274, -73.755105,5,78003,0
78004,Lucienne-Charette / Théorêt,  45.311778, -73.952917,6,78004,1
78005,Vanier / D'Iberville,  45.364857, -73.739174,5,78005,0
78006,Vanier / Normand,  45.363283, -73.738585,5,78006,0
78007,Salaberry Nord / Beauregard,  45.387271, -73.747028,5,78007,0
78008,Salaberry Nord / Beauregard,  45.387349, -73.747192,5,78008,0
78009,Gordon / Robert Ouest,  45.379774, -73.736494,5,78009,0
78010,Robert Ouest / Gordon,  45.379774, -73.736748,5,78010,0
78011,Maple / Dupont Est,  45.378160, -73.735597,5,78011,0
78012,Maple / Dupont Est,  45.378357, -73.735736,5,78012,0
78013,Marcel / Hans-Selye,  45.362528, -73.711972,5,78013,0
78014,Albert-Einstein / Edouard-Branly,  45.361938, -73.708164,5,78014,0
78015,Marcel / Albert-Einstein,  45.362000, -73.708387,5,78015,0
78016,Albert-Einstein / Marie-Curie,  45.361003, -73.707838,5,78016,0
78017,Albert-Einstein / Marie-Curie,  45.361100, -73.708220,5,78017,0
78018,Albert-Einstein / Pasteur,  45.360266, -73.706677,5,78018,0
78019,Albert-Einstein / Pasteur,  45.360115, -73.707034,5,78019,0
78020,Albert-Einstein / Franklin,  45.358805, -73.701592,5,78020,0
78021,Albert-Einstein / Franklin,  45.359032, -73.701776,5,78021,0
78022,Primeau / Principale,  45.358969, -73.753469,5,78022,0
78023,Principale / Primeau,  45.359112, -73.753436,5,78023,0
78024,Principale / Primeau,  45.358920, -73.753675,5,78024,0
78025,Albert-Einstein / de Bruxelles,  45.354413, -73.702509,5,78025,0
78026,Albert-Einstein / Laramée,  45.354614, -73.702776,5,78026,0
78027,Sainte-Marguerite / Léonard,  45.353973, -73.703776,5,78027,0
78028,Sainte-Marguerite / Léonard,  45.353810, -73.704026,5,78028,0
78029,De Gaulle / Sainte-Marguerite,  45.354153, -73.706968,5,78029,0
78030,Sainte-Marguerite / Fournier,  45.354274, -73.706274,5,78030,0
78031,De Gaulle / Bernard,  45.352253, -73.707595,5,78031,0
78032,De Gaulle / Bernard,  45.352463, -73.707764,5,78032,0
78033,De Gaulle / Kennedy,  45.349214, -73.707963,5,78033,0
