shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
M10009,45.698096,-73.653121,10001,0.000
M10009,45.698141,-73.653138,10002,0.005
M10009,45.698192,-73.653196,10003,0.012
M10009,45.698192,-73.653325,10004,0.022
M10009,45.698186,-73.653699,10005,0.051
M10009,45.698083,-73.653833,10006,0.067
M10009,45.698068,-73.653954,10007,0.077
M10009,45.698065,-73.654049,10008,0.084
M10009,45.698069,-73.654138,10009,0.091
M10009,45.698075,-73.654298,10010,0.103
M10009,45.698536,-73.654281,10011,0.155
M10009,45.699538,-73.654296,10012,0.266
M10009,45.699631,-73.654314,10013,0.277
M10009,45.699615,-73.654422,10014,0.285
M10009,45.699543,-73.655202,10015,0.346
M10009,45.699479,-73.656007,10016,0.409
M10009,45.699479,-73.656007,20001,0.409
M10009,45.699465,-73.656186,20002,0.423
M10009,45.699429,-73.656723,20003,0.465
M10009,45.699426,-73.656826,20004,0.473
M10009,45.699347,-73.658085,20005,0.572
M10009,45.699310,-73.658939,20006,0.638
M10009,45.699320,-73.659159,20007,0.656
M10009,45.699320,-73.659159,30001,0.656
M10009,45.699326,-73.659287,30002,0.666
M10009,45.699367,-73.659675,30003,0.696
M10009,45.699371,-73.659829,30004,0.708
M10009,45.699448,-73.660490,30005,0.760
M10009,45.699584,-73.661283,30006,0.824
M10009,45.699788,-73.662043,30007,0.887
M10009,45.699788,-73.662043,40001,0.887
M10009,45.699816,-73.662147,40002,0.896
M10009,45.700034,-73.662895,40003,0.959
M10009,45.700263,-73.663591,40004,1.019
M10009,45.700354,-73.663887,40005,1.044
M10009,45.700354,-73.663887,50001,1.044
M10009,45.700377,-73.663959,50002,1.050
M10009,45.700647,-73.664774,50003,1.121
M10009,45.700786,-73.665098,50004,1.150
M10009,45.700786,-73.665098,60001,1.150
M10009,45.700839,-73.665224,60002,1.162
M10009,45.700873,-73.665291,60003,1.168
M10009,45.701051,-73.665624,60004,1.201
M10009,45.701399,-73.666265,60005,1.264
M10009,45.701637,-73.666692,60006,1.306
M10009,45.701933,-73.667252,60007,1.361
M10009,45.702121,-73.667573,60008,1.394
M10009,45.702207,-73.667695,60009,1.407
M10009,45.702364,-73.667847,60010,1.428
M10009,45.702399,-73.667875,60011,1.433
M10009,45.702487,-73.667920,60012,1.443
M10009,45.702540,-73.667949,60013,1.450
M10009,45.702576,-73.667964,60014,1.454
M10009,45.702630,-73.667968,60015,1.460
M10009,45.702808,-73.668018,60016,1.480
M10009,45.702845,-73.668008,60017,1.484
M10009,45.702845,-73.668008,70001,1.484
M10009,45.702889,-73.668024,70002,1.489
M10009,45.702934,-73.668027,70003,1.494
M10009,45.704340,-73.667994,70004,1.650
M10009,45.704403,-73.667986,70005,1.657
M10009,45.704517,-73.667993,70006,1.670
M10009,45.704517,-73.667993,80001,1.670
M10009,45.704547,-73.667995,80002,1.673
M10009,45.704637,-73.667989,80003,1.683
M10009,45.704781,-73.667998,80004,1.699
M10009,45.704835,-73.667989,80005,1.706
M10009,45.704970,-73.667998,80006,1.720
M10009,45.705034,-73.667990,80007,1.728
M10009,45.705310,-73.668060,80008,1.759
M10009,45.705364,-73.668064,80009,1.765
M10009,45.705428,-73.668055,80010,1.772
M10009,45.705490,-73.668072,80011,1.779
M10009,45.705562,-73.668077,80012,1.787
M10009,45.705589,-73.668066,80013,1.790
M10009,45.705625,-73.668069,80014,1.794
M10009,45.705841,-73.668070,80015,1.818
M10009,45.706435,-73.668068,80016,1.884
M10009,45.706435,-73.668068,90001,1.884
M10009,45.706562,-73.668068,90002,1.898
M10009,45.707463,-73.668039,90003,1.999
M10009,45.707743,-73.668033,90004,2.030
M10009,45.708337,-73.668034,90005,2.096
M10009,45.708652,-73.668043,90006,2.131
M10009,45.708893,-73.668098,90007,2.158
M10009,45.709169,-73.668194,90008,2.190
