stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
82004,Adolphe-Chapleau / 27e Avenue,  45.672264, -73.753043,5,82004,0
82005,Adolphe-Chapleau / 31e Avenue,  45.670151, -73.754854,5,82005,0
82007,Adolphe-Chapleau / 38e Avenue,  45.666209, -73.758464,5,82007,0
82033,Desjardins Est / Vaudry (1),  45.634784, -73.822723,5,82033,0
82063,Montée Gagnon / du Souvenir,  45.665600, -73.761453,5,82063,0
82064,Adolphe-Chapleau / 38e Avenue,  45.666679, -73.758296,5,82064,0
82066,Adolphe-Chapleau / 31e Avenue,  45.669743, -73.754837,5,82066,0
82067,Adolphe-Chapleau / 27e Avenue,  45.671979, -73.753234,5,82067,0
82128,Montée Gagnon / du Souvenir,  45.669165, -73.766629,5,82128,0
82130,Montée Gagnon / Adrien-Éthier Nord,  45.674557, -73.774434,5,82130,0
82134,Montée Gagnon / de Vignory,  45.679186, -73.781525,5,82134,0
82144,Montée Gagnon / Adrien-Éthier Sud,  45.672217, -73.771296,5,82144,0
82145,Montée Gagnon / du Souvenir,  45.669195, -73.767111,5,82145,0
82855,Côte de Terrebonne / de la Pommeraie,  45.674149, -73.749120,5,82855,0
82868,Côte de Terrebonne / 4e Avenue,  45.675190, -73.747549,5,82868,0
83222,Guy / Saint-Roch,  45.700650, -73.803111,6,83222,0
84000,Terminus Montmorency Quai 1,  45.558603, -73.720181,3,84000,0
84001,de Mascouche / Crépeau,  45.740697, -73.603418,6,84001,0
84002,de Mascouche / Mercier,  45.741152, -73.606135,6,84002,0
84003,de Mascouche / de l'Étang,  45.743388, -73.614867,6,84003,0
84004,de Mascouche / face au Pavillon du Grand-Coteau,  45.744993, -73.621483,6,84004,0
84005,de Mascouche / du Mistral,  45.746680, -73.626986,6,84005,0
84006,Montée Gagnon / du Souvenir,  45.665931, -73.761743,5,84006,0
84007,Rue Alexander / Chemin Newton,  45.746081, -73.678017,6,84007,0
84008,Adolphe-Chapleau / face à la Paroisse Saint-Luc,  45.668241, -73.756590,5,84008,0
84009,Adolphe-Chapleau / devant la Paroisse Saint-Luc,  45.668125, -73.756412,5,84009,0
84010,de Mascouche / des Golfs,  45.746769, -73.631649,6,84010,0
84011,des Entreprises / Gascon (Transfert),  45.730419, -73.676597,6,84011,0
84012,des Entreprises / Édouard-Michelin,  45.714922, -73.710658,6,84012,0
84015,Mathieu / Sainte-Marie,  45.750659, -73.608229,6,84015,0
84016,de Mascouche / devant le Pavillon du Grand-Coteau,  45.744851, -73.621593,6,84016,0
84017,des Entreprises / Édouard-Michelin,  45.714809, -73.711000,6,84017,0
84018,Fernand-Poitras / Anderson,  45.686132, -73.772401,6,84018,0
84019,des Anglais / Gascon,  45.719852, -73.658829,5,84019,0
84022,Louis-H.-La Fontaine / Larrey,  45.613614, -73.587452,2,84022,0
84023,Louis-H.-La Fontaine / Larrey,  45.612931, -73.588600,2,84023,0
84024,Louis-H.-La Fontaine / Perras,  45.629903, -73.611260,2,84024,0
84025,Louis-H.-La Fontaine / Perras,  45.629497, -73.612055,2,84025,0
84026,Louis-H.-Lafontaine / Cégep Marie-Victorin,  45.623116, -73.603937,2,84026,0
84027,Louis-H.-Lafontaine / Cégep Marie-Victorin,  45.622522, -73.604654,2,84027,0
84028,de Mascouche / des Golfs,  45.746803, -73.632412,6,84028,0
84029,de Mascouche / du Mistral,  45.746237, -73.628209,6,84029,0
84030,de Mascouche / De Maupassant,  45.742551, -73.611265,6,84030,0
84031,de Mascouche / Mercier,  45.741339, -73.605701,6,84031,0
84032,de Mascouche / Montée Masson,  45.741951, -73.607774,6,84032,0
84033,de Mascouche / Crépeau,  45.740991, -73.603160,6,84033,0
84034,Camus / Adrien-Hébert,  45.698767, -73.800543,6,84034,0
84035,Guy / David,  45.703074, -73.803756,6,84035,0
84036,Guy / du Milan,  45.705791, -73.804444,6,84036,0
84037,du Milan / Bigras,  45.705563, -73.807732,6,84037,0
84039,Camus / Adrien-Hébert,  45.698528, -73.800500,6,84039,0
84040,Industriel / Cunard,  45.582017, -73.732367,3,84040,0
84041,Industriel / Cunard,  45.581951, -73.732909,3,84041,0
84042,de l'Esplanade / de Versailles,  45.727429, -73.632111,6,84042,0
84043,de l'Esplanade / de Versailles,  45.727232, -73.632329,6,84043,0
84044,de l'Esplanade / des Anglais,  45.726565, -73.656958,6,84044,0
84045,de l'Esplanade / des Anglais,  45.726278, -73.656749,6,84045,0
84046,de la Pinière / de Plaisance,  45.724283, -73.680988,5,84046,0
84047,de la Pinière / devant la banque RBC,  45.717623, -73.696676,5,84047,0
84048,de la Pinière / de Melbourne,  45.722320, -73.693015,5,84048,0
84049,de la Pinière / de Melbourne,  45.722102, -73.693127,5,84049,0
84050,de la Pinière / face à la banque RBC,  45.717731, -73.696793,5,84050,0
84051,de la Pinière / de Cologne,  45.722911, -73.690112,5,84051,0
84052,de la Pinière / Jeanne-Mance,  45.725092, -73.668502,5,84052,0
84053,de l'Esplanade / Montée Masson,  45.727657, -73.617914,6,84053,0
84054,de l'Esplanade / du Louvre,  45.725860, -73.636930,6,84054,0
84055,de l'Esplanade / de Fontainebleau,  45.725621, -73.637135,6,84055,0
84056,Anderson / Industriel,  45.686108, -73.766494,6,84056,0
84057,de l'Esplanade / Montée Masson,  45.727481, -73.617935,6,84057,0
84058,des Érables / Rawlinson,  45.741323, -73.659618,6,84058,0
84059,Rawlinson / face au civique #1447,  45.738672, -73.656466,6,84059,0
84060,Rawlinson / Guilbault,  45.736773, -73.653497,6,84060,0
84061,Rawlinson / devant le civique #1614,  45.735512, -73.651516,6,84061,0
84062,Rawlinson / des Anglais,  45.734012, -73.650195,6,84062,0
84063,des Galets / des Pins,  45.762243, -73.729344,6,84063,0
84064,Ludovic-Laurier / Saint-Charles,  45.696316, -73.615642,5,84064,0
84065,Guérin / Carré du Bélier,  45.762130, -73.703494,6,84065,0
84066,Guérin / Carré du Bélier,  45.762224, -73.703116,6,84066,0
84067,Guérin / Philippe-Chartrand,  45.761581, -73.701418,6,84067,0
84068,Saint-Charles / Claude,  45.691207, -73.600946,5,84068,0
84069,des Pins / de l'Hortensia,  45.764299, -73.732677,6,84069,0
84070,Saint-Charles / Claude,  45.691019, -73.601479,5,84070,0
84071,Cantin / Saint-Charles,  45.694788, -73.586093,5,84071,0
84072,Saint-Charles / Cantin,  45.694499, -73.586049,5,84072,0
84073,Cantin / de l'Île-des-Lys,  45.700186, -73.585767,5,84073,0
84074,de l'Hortensia / de la Grive,  45.765154, -73.731491,6,84074,0
84076,de l'Île-des-Lys / de l'Île-des-Gardes,  45.700666, -73.582314,5,84076,0
84077,Saint-Charles / de l'Île-des-Gardes,  45.697180, -73.581935,5,84077,0
84078,de l'Île-des-Gardes / Saint-Charles,  45.697031, -73.582207,5,84078,0
84079,d'Angora / de la Portneuf,  45.715123, -73.650908,5,84079,0
84080,de la Portneuf / d'Angora,  45.715139, -73.650064,5,84080,0
84081,de l'Azalée / Rodrigue,  45.760983, -73.694122,6,84081,0
84082,Saint-Charles / Benoît-Lacasse,  45.699705, -73.573471,5,84082,0
84083,Saint-Charles / Benoît-Lacasse,  45.699460, -73.573670,5,84083,0
84084,Saint-Charles / Léonard,  45.701529, -73.565585,5,84084,0
84085,Saint-Charles / Léonard,  45.701342, -73.565905,5,84085,0
84086,Saint-Charles / de l'Église,  45.701951, -73.554316,5,84086,0
84087,Saint-Charles / de l'Église,  45.701887, -73.554705,5,84087,0
84088,Pierre-Laporte / Saint-Charles,  45.706234, -73.519058,5,84088,0
84089,Saint-Charles / Pierre-Laporte,  45.705999, -73.518974,5,84089,0
84090,Côte de Terrebonne / Urbanova (Transfert),  45.680217, -73.736793,5,84090,0
84091,Côte de Terrebonne / Urbanova (Transfert),  45.679980, -73.737141,5,84091,0
84092,Urbanova / face au passage piéton,  45.682782, -73.738088,5,84092,0
84093,Pierre-Dansereau / Thérèse-Casgrain,  45.687532, -73.734947,5,84093,0
