shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
110114,45.562784,-73.210645,10001,0.000
110114,45.563115,-73.210139,10002,0.054
110114,45.563171,-73.210065,10003,0.063
110114,45.563190,-73.210028,10004,0.066
110114,45.563227,-73.210005,10005,0.071
110114,45.563262,-73.210045,10006,0.076
110114,45.563288,-73.210085,10007,0.080
110114,45.563556,-73.210447,10008,0.121
110114,45.563851,-73.210836,10009,0.166
110114,45.563981,-73.211023,10010,0.186
110114,45.564219,-73.211178,10011,0.215
110114,45.564432,-73.211294,10012,0.241
110114,45.564619,-73.211356,10013,0.262
110114,45.564763,-73.211365,10014,0.278
110114,45.564862,-73.211358,10015,0.289
110114,45.564867,-73.211191,10016,0.302
110114,45.564910,-73.210040,10017,0.392
110114,45.564934,-73.209503,10018,0.434
110114,45.564944,-73.209184,10019,0.459
110114,45.564900,-73.208835,10020,0.487
110114,45.564827,-73.208561,10021,0.509
110114,45.564819,-73.208510,10022,0.514
110114,45.564759,-73.208404,10023,0.524
110114,45.564708,-73.208298,10024,0.534
110114,45.564674,-73.208245,10025,0.540
110114,45.564613,-73.208164,10026,0.549
110114,45.564536,-73.208044,10027,0.562
110114,45.564501,-73.208017,10028,0.566
110114,45.564085,-73.207441,10029,0.631
110114,45.563506,-73.206625,10030,0.721
110114,45.563188,-73.206183,10031,0.771
110114,45.563102,-73.206047,10032,0.785
110114,45.563580,-73.205681,10033,0.845
110114,45.563580,-73.205681,20001,0.845
110114,45.563954,-73.205393,20002,0.893
110114,45.564094,-73.205252,20003,0.912
110114,45.564236,-73.205075,20004,0.933
110114,45.564259,-73.205040,20005,0.936
110114,45.564307,-73.204966,20006,0.944
110114,45.564438,-73.204723,20007,0.968
110114,45.564495,-73.204583,20008,0.981
110114,45.564546,-73.204426,20009,0.995
110114,45.564590,-73.204262,20010,1.008
110114,45.564627,-73.204092,20011,1.022
110114,45.564720,-73.203596,20012,1.062
110114,45.564717,-73.203572,20013,1.064
110114,45.564699,-73.203220,20014,1.092
110114,45.564676,-73.203039,20015,1.106
110114,45.564642,-73.202855,20016,1.121
110114,45.564630,-73.202798,20017,1.126
110114,45.564622,-73.202772,20018,1.128
110114,45.564555,-73.202484,20019,1.151
110114,45.564113,-73.200732,20020,1.297
110114,45.564096,-73.200664,20021,1.302
110114,45.563538,-73.198445,20022,1.486
110114,45.563526,-73.198402,20023,1.490
110114,45.563503,-73.198312,20024,1.498
110114,45.563243,-73.197594,20025,1.561
110114,45.563243,-73.197594,30001,1.561
110114,45.563115,-73.197241,30002,1.592
110114,45.563084,-73.197182,30003,1.597
110114,45.563046,-73.197144,30004,1.603
110114,45.563087,-73.196939,30005,1.619
110114,45.563022,-73.196657,30006,1.643
110114,45.562956,-73.196370,30007,1.666
110114,45.562704,-73.195343,30008,1.751
110114,45.562572,-73.194804,30009,1.796
110114,45.562471,-73.194378,30010,1.831
110114,45.562334,-73.193797,30011,1.879
110114,45.562209,-73.193215,30012,1.926
110114,45.562138,-73.192800,30013,1.960
110114,45.562109,-73.192584,30014,1.977
110114,45.562077,-73.192348,30015,1.995
110114,45.562038,-73.191883,30016,2.032
110114,45.562029,-73.191681,30017,2.048
110114,45.562015,-73.191384,30018,2.071
110114,45.562010,-73.191057,30019,2.097
110114,45.562016,-73.190810,30020,2.116
110114,45.562040,-73.190417,30021,2.147
110114,45.562070,-73.190148,30022,2.168
110114,45.562106,-73.189894,30023,2.188
110114,45.562167,-73.189548,30024,2.216
110114,45.562234,-73.189230,30025,2.242
110114,45.562273,-73.189078,30026,2.255
110114,45.562458,-73.188415,30027,2.310
