stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
16000,Terminus Mansfield Quai 6,  45.497972, -73.564192,1,16000,0
70020,Terminus temp. Radisson (rue du Trianon),  45.590456, -73.540802,,70020,1
71021,Nobel / Bombardier,  45.581671, -73.312429,5,71021,0
71022,Bombardier / Marconi,  45.579287, -73.311597,5,71022,0
71023,Bombardier / Darwin,  45.577786, -73.308190,5,71023,0
71320,Terminus Sainte-Julie (quai 7),  45.582611, -73.323143,5,71320,1
71321,Terminus Sainte-Julie - quai 6,  45.582791, -73.322973,5,71321,0
71332,Terminus Sainte-Julie - quai 6,  45.582796, -73.322918,5,71332,0
73001,Sir-Wilfrid-Laurier / du Millénaire,  45.524677, -73.302160,5,73001,0
73002,Sir-Wilfrid-Laurier / du Millénaire,  45.524986, -73.302330,5,73002,0
73003,Sir-Wilfrid-Laurier / Jean-Charles-Michaud,  45.526661, -73.295331,5,73003,0
73004,Sir-Wilfrid-Laurier / Jean-Charles-Michaud,  45.526893, -73.295996,5,73004,0
73005,Sir Wilfrid-Laurier / Gare Saint-Basile,  45.523124, -73.307139,5,73005,1
73006,Sir-Wilfrid-Laurier / Lafrance Ouest,  45.527832, -73.292826,5,73006,0
73007,Sir-Wilfrid-Laurier / Montée Robert,  45.528564, -73.289245,5,73007,0
73008,Sir-Wilfrid-Laurier / Montée des Trinitaires,  45.528709, -73.289790,5,73008,0
73009,Sir-Wilfrid-Laurier / Principale,  45.530714, -73.281799,5,73009,0
73010,Sir-Wilfrid-Laurier / Principale,  45.531111, -73.281812,5,73010,0
73011,Sir-Wilfrid-Laurier / Alvares,  45.533178, -73.273410,5,73011,0
73012,Sir-Wilfrid-Laurier / Alvares,  45.533526, -73.273702,5,73012,0
73014,Sir-Wilfrid-Laurier / du Moulin,  45.534419, -73.270859,5,73014,0
73015,Sir-Wilfrid-Laurier / Parent,  45.534656, -73.268609,5,73015,0
73016,Sir-Wilfrid-Laurier / Parent,  45.535096, -73.268584,5,73016,0
73017,Sir-Wilfrid-Laurier / De Boucherville,  45.520022, -73.317777,3,73017,0
73018,Sir-Wilfrid-Laurier / De Boucherville,  45.520242, -73.318031,3,73018,0
73019,Sir-Wilfrid-Laurier / Seigneurial Ouest,  45.513439, -73.343175,3,73019,0
73020,Sir-Wilfrid-Laurier / Seigneurial Ouest,  45.513762, -73.344212,3,73020,0
73021,Sir-Wilfrid-Laurier / des Cèdres,  45.514966, -73.330234,3,73021,0
73022,Sir-Wilfrid-Laurier / des Cèdres,  45.515167, -73.330555,3,73022,0
73023,Promenades Saint-Bruno / devant le Cineplex Odéon,  45.506255, -73.382291,3,73023,0
73024,Promenades Saint-Bruno / face à la porte #3,  45.503044, -73.376021,3,73024,0
73025,Promenades Saint-Bruno / devant le Yellow,  45.507965, -73.381443,3,73025,0
73026,Promenades Saint-Bruno / face à la porte #2,  45.506043, -73.374795,3,73026,0
73027,Promenades Saint-Bruno / devant le RONA,  45.502415, -73.377478,3,73027,0
73028,Promenades Saint-Bruno / face à la porte #6,  45.507650, -73.380558,3,73028,0
73029,Sir-Wilfrid-Laurier / de Chambly,  45.507589, -73.430079,3,73029,0
73030,Sir-Wilfrid-Laurier / de Chambly,  45.508090, -73.431409,3,73030,0
73031,Taschereau / Jean-Bariteau,  45.511785, -73.498083,3,73031,0
73032,Taschereau / Manseau,  45.512078, -73.497859,3,73032,0
73033,La Fayette / Saint-Charles Ouest,  45.520573, -73.519072,3,73033,0
73034,La Fayette / Saint-Charles Ouest,  45.520730, -73.518887,3,73034,0
73035,Taschereau / Logan,  45.514860, -73.508236,3,73035,0
73037,Cégep Édouard-Montpetit,  45.536954, -73.495306,3,73037,0
73038,Tiffin / devant le Collège Charles-Lemoyne,  45.514307, -73.510621,3,73038,0
73039,Côté / face au 300,  45.554201, -73.199920,6,73039,1
73040,Tiffin / devant le Collège N.-D.-L.,  45.515273, -73.513267,3,73040,0
73042,Tiffin / Saint-Charles Ouest,  45.517115, -73.519027,3,73042,0
73043,des Patriotes Nord / de la Gare,  45.585250, -73.188729,6,73043,1
73044,des Patriotes Nord / de la Gare,  45.584882, -73.188714,6,73044,1
73053,du Millénaire / devant le #1200,  45.518833, -73.297640,5,73053,0
73054,du Millénaire / devant le #1100,  45.518252, -73.296818,5,73054,0
73055,Bella-Vista / Principale,  45.516876, -73.294834,5,73055,0
73056,Bella-Vista / devant l'Aréna Jean-Rougeau,  45.515467, -73.292799,5,73056,0
73057,Bella-Vista / François-Massé,  45.514065, -73.290828,5,73057,0
73058,Bella-Vista / des Pinsons,  45.512989, -73.289333,5,73058,0
73059,Bella-Vista / des Hirondelles,  45.511037, -73.286541,5,73059,0
73060,des Cygnes / des Fauvettes,  45.511034, -73.285085,5,73060,0
73061,des Fauvettes / des Grives,  45.511970, -73.283459,5,73061,0
73062,des Fauvettes / des Pigeons,  45.513952, -73.282035,5,73062,0
73063,des Hirondelles / des Pigeons,  45.514137, -73.283018,5,73063,0
73064,des Pinsons / des Goélands,  45.513657, -73.285421,5,73064,0
73065,des Pinsons / Dupras,  45.514381, -73.287084,5,73065,0
73066,Dupras / Corbeil,  45.516564, -73.286918,5,73066,0
73067,Corbeil / des Hirondelles,  45.516154, -73.282773,5,73067,0
73068,des Hirondelles / Basile-Daigneault,  45.517564, -73.280588,5,73068,0
73069,Basile-Daigneault / des Cerisiers,  45.518662, -73.282567,5,73069,0
73070,Basile-Daigneault / Dupras,  45.519555, -73.284754,5,73070,0
73071,Saint-Louis / de Longueuil,  45.520907, -73.287720,5,73071,0
73072,de Longueuil / Principale,  45.522602, -73.290828,5,73072,0
73073,Principale / Montée Robert,  45.526562, -73.287295,5,73073,0
73074,Principale / Lapalme,  45.527603, -73.286019,5,73074,0
73075,Lapalme / Savaria,  45.526630, -73.284779,5,73075,0
73076,Savaria / des Ormes,  45.525907, -73.282167,5,73076,0
73077,des Tilleuls / des Peupliers,  45.524725, -73.280138,5,73077,0
73078,des Trembles / des Chênes,  45.522682, -73.279693,5,73078,0
73079,Saint-Louis / Montée Robert,  45.523776, -73.283081,5,73079,0
73080,Rang des Vingt / du Millénaire,  45.527535, -73.306107,5,73080,0
73081,Rang des Vingt / Taillon Ouest,  45.531310, -73.303377,5,73081,0
73082,Taillon Ouest / Bresse,  45.528673, -73.299578,5,73082,0
